;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CUADRO N° 46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CARACTERÍSTICAS SOCIO-DEMOGRÁFICAS, OCUPACIONALES Y DEL EMPLEADOR - GRUPO DE EDAD - 18 A  29 AÑOS  - POR CONDICIÓN DE TRABAJO, 2009 - 2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Desagregaciones;edadcj;ene.-09;feb.-09;mar.-09;abr.-09;may.-09;jun.-09;jul.-09;ago.-09;sep.-09;oct.-09;nov.-09;dic.-09;ene.-10;feb.-10;mar.-10;abr.-10;may.-10;jun.-10;jul.-10;ago.-10;sep.-10;oct.-10;nov.-10;dic.-10;ene.-11;feb.-11;mar.-11;abr.-11;may.-11;jun.-11;jul.-11;ago.-11;sep.-11;oct.-11;nov.-11;dic.-11;ene.-12;feb.-12;mar.-12;abr.-12;may.-12;jun.-12;jul.-12;ago.-12;sep.-12;oct.-12;nov.-12;dic.-12;ene.-13;feb.-13;mar.-13;abr.-13;may.-13;jun.-13;jul.-13;ago.-13;sep.-13;oct.-13;nov.-13;dic.-13;ene.-14;feb.-14;mar.-14;abr.-14;may.-14;jun.-14;jul.-14;ago.-14;sep.-14;oct.-14;nov.-14;dic.-14;ene.-15;feb.-15;mar.-15;abr.-15;may.-15;jun.-15;jul.-15;ago.-15;sep.-15;oct.-15;nov.-15;dic.-15;ene.-16;feb.-16;mar.-16;abr.-16;may.-16;jun.-16;jul.-16;ago.-16;sep.-16;oct.-16;nov.-16;dic.-16;ene.-17;feb.-17;mar.-17;abr.-17;may.-17;jun.-17;jul.-17;ago.-17;sep.-17;oct.-17;nov.-17;dic.-17;ene.-18;feb.-18;mar.-18;abr.-18;may.-18;jun.-18;jul.-18;ago.-18;sep.-18;oct.-18;nov.-18;dic.-18;ene.-19;feb.-19;mar.-19;abr.-19;may.-19;jun.-19;jul.-19;ago.-19;sep.-19;oct.-19;nov.-19;dic.-19;ene.-20;feb.-20;mar.-20;abr.-20;may.-20;jun.-20;jul.-20;ago.-20;sep.-20;oct.-20;nov.-20;dic.-20;ene.-21;feb.-21;mar.-21;abr.-21;may.-21;jun.-21;jul.-21;ago.-21;sep.-21;oct.-21;nov.-21;dic.-21;ene.-22;feb.-22;mar.-22;abr.-22;may.-22;jun.-22;jul.-22;ago.-22;sep.-22;oct.-22;nov.-22;dic.-22;ene.-23;feb.-23;mar.-23
;1_Cuenta Propia;0_Menor a 15 años;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1_Cuenta Propia;1_Entre 15 y 17 años;1;1;1;1;1;1;1;1;;;;;;;;;;1;1;1;1;2;;1;1;;;1;;3;4;5;4;4;4;4;4;2;2;2;2;2;2;3;3;3;2;2;2;2;2;1;1;1;1;1;2;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;1;1;2;2;1;1;1;1;;;;;;;;;;;1;1;1;1;1;3;3;3;3;3;3;3;3;3;3;2;1;1;1;1;1;;;;;;;;;1;1;1;1;1;;;;;;;;
;1_Cuenta Propia;2_Entre 18 y 29 años;1.107;1.119;1.132;1.157;1.191;1.247;1.293;1.340;1.377;1.423;1.471;1.549;1.669;1.718;1.829;1.952;2.074;2.262;2.445;2.615;2.831;3.057;3.246;3.443;3.948;4.149;4.406;4.713;4.955;5.325;5.594;5.955;6.293;6.741;7.197;7.508;7.817;7.928;8.124;8.300;8.553;8.801;9.098;9.374;9.599;9.909;10.387;10.370;10.482;10.545;10.669;10.874;11.038;11.318;11.484;11.559;11.674;11.786;11.937;11.882;12.058;12.021;11.821;11.527;11.312;11.226;10.876;10.640;10.485;10.266;10.084;9.797;9.729;9.577;9.449;9.343;9.287;9.186;8.959;8.765;8.758;8.626;8.564;8.373;8.253;8.131;7.965;7.781;7.690;7.601;7.429;7.296;7.316;7.203;7.089;7.071;6.902;6.816;6.912;6.788;6.628;6.610;7.082;7.306;7.578;7.667;7.810;7.890;9.161;8.946;8.399;8.381;8.420;8.468;8.529;8.745;9.156;9.217;9.811;10.022;10.105;10.058;10.662;10.239;10.144;10.382;10.430;10.476;10.624;10.856;11.004;10.969;10.796;10.900;10.790;10.444;10.127;9.970;9.862;10.247;10.588;10.765;10.974;10.913;11.176;11.198;11.432;11.633;11.810;11.968;12.141;12.281;12.340;12.455;12.447;12.431;12.837;12.956;13.208;13.296;13.437;13.629;13.747;13.857;14.071;14.157;14.071;13.961;13.960;13.632;13.426
;1_Cuenta Propia;3_Entre 30 y 44 años;5.799;5.982;6.186;6.338;6.494;6.679;6.928;7.193;7.310;7.506;7.753;8.052;8.665;8.896;9.281;9.796;10.249;11.128;11.985;12.577;13.425;14.211;15.085;15.920;17.807;18.796;19.845;20.980;22.022;23.599;24.826;25.977;27.118;28.378;29.411;30.666;32.375;33.220;34.217;35.091;36.228;37.359;38.545;39.698;40.881;42.191;43.433;44.098;45.406;46.239;47.085;47.988;48.922;50.069;51.196;52.157;52.646;53.288;53.787;54.166;55.251;55.307;55.271;54.912;54.661;54.501;54.054;53.824;53.692;53.307;53.208;52.767;53.017;52.730;52.579;52.382;52.267;52.079;51.874;51.611;51.586;51.329;51.198;50.993;50.799;50.576;50.291;49.795;49.389;49.140;48.759;48.451;48.291;47.827;47.522;47.226;47.025;46.851;46.739;46.465;46.236;46.098;47.116;47.521;47.955;47.951;48.091;48.303;49.627;49.515;49.230;49.205;49.251;49.302;49.292;49.534;49.980;50.028;50.669;50.905;51.600;51.565;52.079;52.002;52.056;52.065;52.000;52.348;52.669;52.782;52.941;53.056;53.467;53.671;53.792;53.955;54.172;54.033;53.904;54.377;54.890;55.039;55.312;55.190;55.807;56.063;56.430;57.056;57.471;57.714;58.304;58.587;58.993;59.112;59.120;59.015;59.879;60.023;60.398;60.709;60.974;61.077;61.351;61.767;62.018;62.159;62.156;61.876;62.274;62.016;62.410
;1_Cuenta Propia;4_Entre 45 y 64 años;8.989;9.238;9.643;9.877;10.160;10.495;10.872;11.203;11.568;12.024;12.420;12.928;13.775;14.224;14.939;15.585;16.254;17.551;18.575;19.485;20.475;21.588;22.685;23.647;25.818;26.909;28.180;29.666;31.095;32.981;34.481;35.954;37.370;38.808;40.367;41.855;43.814;45.276;46.668;47.963;49.499;50.949;52.521;53.911;55.280;56.850;58.249;59.322;60.954;62.113;63.312;64.623;65.768;67.149;68.730;70.040;71.139;72.230;73.195;73.908;75.366;75.819;76.071;76.167;76.208;76.402;76.483;76.500;76.707;76.647;76.698;76.715;77.160;77.213;77.380;77.455;77.627;77.765;77.838;77.763;77.844;77.824;77.970;77.998;77.968;77.929;77.813;77.643;77.497;77.404;77.486;77.452;77.480;77.444;77.434;77.392;77.431;77.441;77.486;77.550;77.569;77.563;79.077;80.040;80.670;80.980;81.364;81.618;82.593;82.867;83.053;83.343;83.622;83.976;84.405;84.903;85.521;85.807;86.361;86.792;87.726;88.083;88.684;88.851;89.191;89.472;89.631;89.887;90.163;90.470;90.945;91.260;91.943;92.303;92.534;93.082;93.701;94.141;94.382;95.072;95.459;95.870;96.225;96.523;97.220;97.482;98.104;98.644;99.096;99.477;99.849;100.208;100.565;100.798;100.975;101.103;101.958;102.344;102.732;103.114;103.430;103.748;104.092;104.571;104.970;105.275;105.521;105.886;106.600;106.935;107.590
;1_Cuenta Propia;5_65 años y más;633;649;664;688;705;726;773;783;802;825;858;901;934;964;1.014;1.041;1.096;1.173;1.247;1.287;1.358;1.442;1.525;1.563;1.730;1.840;1.927;1.991;2.073;2.190;2.350;2.473;2.628;2.739;2.874;2.985;3.154;3.283;3.401;3.529;3.677;3.823;3.980;4.147;4.234;4.439;4.583;4.749;4.906;5.024;5.197;5.375;5.532;5.672;5.816;6.012;6.175;6.310;6.395;6.479;6.622;6.640;6.665;6.703;6.746;6.784;6.814;6.808;6.870;6.899;6.939;7.006;7.039;7.085;7.120;7.149;7.205;7.250;7.341;7.358;7.405;7.479;7.527;7.601;7.619;7.661;7.735;7.733;7.822;7.882;7.931;8.042;8.078;8.140;8.236;8.325;8.368;8.439;8.494;8.574;8.632;8.720;8.982;9.134;9.317;9.433;9.571;9.769;9.951;10.057;10.226;10.302;10.432;10.537;10.687;10.809;10.928;11.073;11.215;11.349;11.475;11.550;11.629;11.691;11.775;11.892;11.926;12.124;12.262;12.414;12.568;12.667;12.865;12.970;13.187;13.403;13.558;13.640;13.792;13.998;14.085;14.242;14.366;14.513;14.525;14.589;14.632;14.702;14.762;14.868;15.002;15.081;15.111;15.189;15.251;15.340;15.332;15.341;15.404;15.446;15.521;15.596;15.680;15.740;15.797;15.851;15.903;15.987;16.006;15.991;16.033
;2_Patronos;0_Menor a 15 años;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
