;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CUADRO N° 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CARACTERÍSTICAS SOCIO-DEMOGRÁFICAS - SECTOR PÚBLICO - POR PROVINCIA, 2009 - 2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Desagregaciones (Provincia);Descripcion;ene.-09;feb.-09;mar.-09;abr.-09;may.-09;jun.-09;jul.-09;ago.-09;sep.-09;oct.-09;nov.-09;dic.-09;ene.-10;feb.-10;mar.-10;abr.-10;may.-10;jun.-10;jul.-10;ago.-10;sep.-10;oct.-10;nov.-10;dic.-10;ene.-11;feb.-11;mar.-11;abr.-11;may.-11;jun.-11;jul.-11;ago.-11;sep.-11;oct.-11;nov.-11;dic.-11;ene.-12;feb.-12;mar.-12;abr.-12;may.-12;jun.-12;jul.-12;ago.-12;sep.-12;oct.-12;nov.-12;dic.-12;ene.-13;feb.-13;mar.-13;abr.-13;may.-13;jun.-13;jul.-13;ago.-13;sep.-13;oct.-13;nov.-13;dic.-13;ene.-14;feb.-14;mar.-14;abr.-14;may.-14;jun.-14;jul.-14;ago.-14;sep.-14;oct.-14;nov.-14;dic.-14;ene.-15;feb.-15;mar.-15;abr.-15;may.-15;jun.-15;jul.-15;ago.-15;sep.-15;oct.-15;nov.-15;dic.-15;ene.-16;feb.-16;mar.-16;abr.-16;may.-16;jun.-16;jul.-16;ago.-16;sep.-16;oct.-16;nov.-16;dic.-16;ene.-17;feb.-17;mar.-17;abr.-17;may.-17;jun.-17;jul.-17;ago.-17;sep.-17;oct.-17;nov.-17;dic.-17;ene.-18;feb.-18;mar.-18;abr.-18;may.-18;jun.-18;jul.-18;ago.-18;sep.-18;oct.-18;nov.-18;dic.-18;ene.-19;feb.-19;mar.-19;abr.-19;may.-19;jun.-19;jul.-19;ago.-19;sep.-19;oct.-19;nov.-19;dic.-19;ene.-20;feb.-20;mar.-20;abr.-20;may.-20;jun.-20;jul.-20;ago.-20;sep.-20;oct.-20;nov.-20;dic.-20;ene.-21;feb.-21;mar.-21;abr.-21;may.-21;jun.-21;jul.-21;ago.-21;sep.-21;oct.-21;nov.-21;dic.-21;ene.-22;feb.-22;mar.-22;abr.-22;may.-22;jun.-22;jul.-22;ago.-22;sep.-22;oct.-22;nov.-22;dic.-22;ene.-23;feb.-23;mar.-23
;01;Azuay;18.979;19.169;19.278;19.417;19.531;19.579;19.167;18.572;19.531;19.813;19.840;19.018;18.639;18.940;19.172;19.387;19.648;19.813;19.859;19.980;19.911;20.318;20.586;20.661;20.540;20.671;20.828;20.906;21.046;21.054;21.124;20.767;20.841;21.292;21.315;21.657;21.565;21.778;22.259;22.442;22.342;22.450;22.549;22.700;22.657;22.877;23.287;23.512;27.252;27.853;27.785;28.532;28.726;28.880;28.857;28.896;29.154;29.703;29.512;29.679;29.134;30.286;30.820;31.037;31.062;31.194;31.413;31.527;32.162;32.501;32.476;32.122;31.839;32.154;32.235;32.570;32.721;32.893;32.652;32.479;34.149;33.948;33.738;33.405;32.588;32.608;32.682;32.842;32.954;33.043;33.158;33.244;33.292;33.400;33.447;33.372;33.133;33.529;33.651;33.750;34.014;33.795;33.558;34.154;33.886;34.402;34.345;34.453;34.425;34.694;34.767;34.750;35.430;35.520;35.479;35.519;35.557;35.776;35.961;35.896;35.179;35.207;35.117;34.877;35.161;34.538;34.544;34.248;34.355;34.523;34.654;34.442;33.920;34.122;34.042;34.104;33.906;33.764;33.747;33.790;33.655;33.625;33.575;33.473;32.992;33.162;33.256;33.307;34.279;34.350;34.493;34.650;34.078;34.148;34.042;34.216;34.012;34.321;34.357;34.430;34.737;34.925;35.017;34.946;35.113;35.290;35.415;35.435;35.134;35.094;35.273
;02;Bolívar;7.048;7.303;7.229;7.425;7.543;7.639;7.351;7.273;7.613;7.661;7.648;7.646;7.632;7.835;7.856;7.909;7.971;7.961;8.057;8.187;8.119;8.244;8.313;8.243;8.079;8.323;8.367;8.439;8.452;8.441;8.515;8.246;8.305;8.395;8.527;8.620;7.976;8.434;8.834;8.879;8.823;8.789;8.847;8.763;8.711;8.839;8.947;8.970;8.472;8.799;9.038;9.095;9.097;9.081;8.799;8.759;8.602;8.683;8.682;8.521;8.366;8.345;8.442;8.616;8.666;8.528;8.442;8.450;8.264;8.431;8.542;8.527;8.433;8.493;8.421;8.386;8.585;8.737;8.669;8.683;8.596;8.611;8.604;8.536;8.491;8.520;8.622;8.600;8.492;8.430;8.452;8.265;8.267;8.525;8.586;8.600;8.429;8.541;8.429;8.495;8.505;8.509;8.431;8.549;8.444;8.583;8.606;8.652;8.618;8.622;8.518;8.715;8.761;8.793;8.903;8.894;8.809;8.984;9.037;9.081;9.020;9.059;8.896;8.982;9.155;8.910;8.924;8.811;8.839;8.989;8.996;8.986;8.868;8.873;8.688;8.668;8.606;8.711;8.692;8.598;8.396;8.173;8.312;8.293;8.047;8.011;8.062;7.956;8.109;8.098;8.196;8.200;8.385;8.235;8.376;8.398;8.140;8.283;8.262;8.121;8.248;8.257;8.256;8.291;8.273;8.330;8.397;8.434;8.306;8.405;8.364
;03;Cañar;6.904;7.006;7.034;7.169;7.195;7.269;7.007;6.959;7.214;7.426;7.444;7.467;7.299;7.429;7.569;7.585;7.724;7.788;7.818;7.823;7.878;7.947;8.020;8.077;7.892;8.159;8.202;8.333;8.385;8.363;8.399;8.304;8.381;8.526;8.551;8.623;8.585;8.727;9.067;9.166;9.124;9.173;9.221;9.241;9.136;9.257;9.283;9.336;9.104;9.400;9.174;9.319;9.332;9.308;9.182;9.223;9.174;9.158;9.050;8.918;8.689;8.794;8.760;8.762;8.767;8.782;8.817;8.744;8.708;8.852;9.119;9.087;8.736;9.073;9.117;9.213;9.354;9.432;9.446;9.367;9.360;9.397;9.440;9.336;9.054;9.239;9.436;9.484;9.491;9.569;9.595;9.499;9.367;9.456;9.441;9.461;9.284;9.445;9.471;9.568;9.625;9.707;9.632;9.737;9.735;9.811;9.864;9.892;9.630;9.702;9.862;9.953;10.004;10.115;10.162;10.177;10.211;10.299;10.403;10.440;10.201;10.370;10.434;10.231;10.351;10.138;10.102;10.129;10.378;10.486;10.556;10.650;10.393;10.553;10.523;10.441;10.338;10.298;10.366;10.357;10.177;10.140;10.140;10.130;9.734;9.853;10.023;10.088;10.201;10.183;10.170;10.105;10.264;10.240;10.152;10.115;9.810;10.080;10.175;10.179;10.241;10.280;10.331;10.492;10.531;10.579;10.615;10.682;10.376;10.598;10.549
;04;Carchi;5.525;5.636;5.653;5.680;5.706;5.709;5.485;5.445;5.741;5.805;5.870;5.894;5.755;5.890;5.890;6.020;6.046;6.073;6.117;6.145;6.122;6.252;6.328;6.443;6.390;6.463;6.393;6.512;6.549;6.519;6.530;6.448;6.402;6.539;6.571;6.678;6.584;6.673;6.800;6.988;6.832;6.914;6.909;6.884;6.738;6.772;6.815;6.847;6.805;6.989;6.918;6.960;6.962;7.009;7.014;6.953;6.955;7.064;6.963;6.959;7.014;7.053;7.018;6.971;6.970;6.989;7.011;7.085;7.182;7.302;7.342;7.322;7.170;7.337;7.327;7.371;7.397;7.387;7.416;7.372;7.292;7.347;7.350;7.235;7.183;7.151;7.146;7.181;7.189;7.133;7.135;7.051;7.015;7.195;7.274;7.275;7.163;7.168;7.184;7.257;7.254;7.247;7.212;7.302;7.275;7.331;7.328;7.352;7.289;7.278;7.214;7.339;7.386;7.387;7.384;7.287;7.290;7.486;7.561;7.577;7.473;7.485;7.317;7.363;7.571;7.260;7.271;7.100;7.267;7.356;7.357;7.357;7.244;7.262;7.186;7.179;7.134;7.124;7.096;7.080;6.873;6.847;6.881;6.892;6.822;6.763;6.841;6.764;6.728;6.802;6.759;6.777;6.852;6.827;6.811;6.911;6.852;6.992;6.946;6.952;6.994;7.008;6.996;7.019;7.032;7.127;7.144;7.173;7.062;7.121;7.006
;05;Cotopaxi;9.311;9.813;9.870;10.028;10.056;10.060;9.655;9.362;10.187;10.307;10.389;10.507;10.096;10.249;10.489;10.572;10.632;10.771;10.827;10.816;10.903;10.965;11.144;11.255;10.948;11.211;11.276;11.364;11.399;11.428;11.444;11.280;11.356;11.381;11.575;11.710;11.597;11.991;12.419;12.497;12.384;12.467;12.589;12.590;12.589;12.676;12.810;12.800;12.569;12.925;12.699;12.900;13.322;13.394;13.339;13.281;13.400;13.345;13.153;13.121;12.666;12.817;12.729;12.748;12.778;12.948;13.436;13.333;13.558;13.918;14.045;13.931;13.793;13.838;13.886;13.906;14.106;14.181;14.224;14.230;14.204;14.269;14.234;14.177;13.866;14.034;14.195;14.183;14.121;14.080;14.230;14.107;13.911;14.103;14.190;14.303;13.878;14.257;14.401;14.384;14.428;14.417;14.360;14.628;14.605;14.707;14.747;14.968;14.965;15.110;15.157;15.287;15.480;15.662;15.765;15.738;15.772;15.859;15.990;16.009;15.635;15.416;15.427;15.398;15.613;15.398;15.366;15.125;15.423;15.499;15.573;15.587;15.038;15.220;15.130;15.124;15.042;14.906;14.903;14.761;14.540;14.520;14.525;14.507;13.994;14.070;14.087;14.160;14.242;14.319;14.469;14.561;14.815;14.840;14.799;14.893;14.130;14.333;14.606;14.739;14.779;14.848;14.952;14.977;14.983;15.228;15.218;15.280;14.976;15.134;15.133
;06;Chimborazo;13.914;14.426;14.649;14.813;14.886;14.910;14.231;13.977;15.115;14.985;15.197;15.132;14.768;15.219;15.552;15.659;15.689;15.749;15.770;15.891;15.908;16.311;16.539;16.499;16.120;16.583;16.481;16.893;16.837;16.875;16.860;16.216;16.382;16.709;17.078;17.184;16.500;17.000;17.297;17.771;17.663;17.698;17.666;17.136;17.022;17.756;17.983;17.949;17.301;17.988;17.813;18.293;18.322;18.843;18.734;18.239;18.817;18.862;18.543;18.523;17.749;18.249;18.423;18.901;18.786;18.869;19.222;18.575;19.310;19.875;20.032;19.915;19.800;19.965;19.983;20.142;20.439;20.479;20.433;19.990;19.743;20.570;20.515;20.493;20.193;20.229;20.459;20.465;20.611;20.675;20.594;20.185;19.042;20.125;20.412;20.412;20.017;20.268;20.365;20.435;20.539;20.626;20.570;20.774;19.617;20.570;20.766;20.767;20.598;20.987;21.033;21.040;21.259;21.541;21.592;21.568;20.443;21.602;21.859;21.841;21.478;21.628;21.294;21.765;22.094;21.759;21.637;20.695;21.398;22.042;22.225;22.146;21.659;22.059;21.887;21.415;21.526;21.326;21.340;21.184;20.557;20.284;20.581;20.682;19.942;20.065;20.161;20.450;21.333;21.396;21.369;21.425;21.158;20.874;21.278;21.463;20.853;21.738;21.760;21.738;21.899;22.018;21.985;22.021;21.786;21.985;22.313;22.350;21.857;22.082;22.035
