;Desagregaciones;edadc;ene.-09;feb.-09;mar.-09;abr.-09;may.-09;jun.-09;jul.-09;ago.-09;sep.-09;oct.-09;nov.-09;dic.-09;ene.-10;feb.-10;mar.-10;abr.-10;may.-10;jun.-10;jul.-10;ago.-10;sep.-10;oct.-10;nov.-10;dic.-10;ene.-11;feb.-11;mar.-11;abr.-11;may.-11;jun.-11;jul.-11;ago.-11;sep.-11;oct.-11;nov.-11;dic.-11;ene.-12;feb.-12;mar.-12;abr.-12;may.-12;jun.-12;jul.-12;ago.-12;sep.-12;oct.-12;nov.-12;dic.-12;ene.-13;feb.-13;mar.-13;abr.-13;may.-13;jun.-13;jul.-13;ago.-13;sep.-13;oct.-13;nov.-13;dic.-13;ene.-14;feb.-14;mar.-14;abr.-14;may.-14;jun.-14;jul.-14;ago.-14;sep.-14;oct.-14;nov.-14;dic.-14;ene.-15;feb.-15;mar.-15;abr.-15;may.-15;jun.-15;jul.-15;ago.-15;sep.-15;oct.-15;nov.-15;dic.-15;ene.-16;feb.-16;mar.-16;abr.-16;may.-16;jun.-16;jul.-16;ago.-16;sep.-16;oct.-16;nov.-16;dic.-16;ene.-17;feb.-17;mar.-17;abr.-17;may.-17;jun.-17;jul.-17;ago.-17;sep.-17;oct.-17;nov.-17;dic.-17;ene.-18;feb.-18;mar.-18;abr.-18;may.-18;jun.-18;jul.-18;ago.-18;sep.-18;oct.-18;nov.-18;dic.-18;ene.-19;feb.-19;mar.-19;abr.-19;may.-19;jun.-19;jul.-19;ago.-19;sep.-19;oct.-19;nov.-19;dic.-19;ene.-20;feb.-20;mar.-20;abr.-20;may.-20;jun.-20;jul.-20;ago.-20;sep.-20;oct.-20;nov.-20;dic.-20;ene.-21;feb.-21;mar.-21;abr.-21;may.-21;jun.-21;jul.-21;ago.-21;sep.-21;oct.-21;nov.-21;dic.-21;ene.-22;feb.-22;mar.-22;abr.-22;may.-22;jun.-22;jul.-22;ago.-22;sep.-22;oct.-22;nov.-22;dic.-22;ene.-23;feb.-23;mar.-23
;2_Patronos;1_Entre 15 y 24 años;212;218;224;234;242;248;256;273;285;288;292;292;309;308;321;354;399;439;450;487;521;570;611;636;707;764;795;853;973;1.067;1.099;1.144;1.183;1.216;1.237;1.271;1.320;1.340;1.365;1.410;1.456;1.511;1.545;1.587;1.635;1.682;1.691;1.676;1.722;1.723;1.714;1.743;1.764;1.792;1.782;1.771;1.801;1.824;1.807;1.757;1.805;1.780;1.738;1.733;1.731;1.721;1.692;1.733;1.721;1.714;1.707;1.676;1.654;1.638;1.614;1.599;1.598;1.597;1.587;1.559;1.551;1.528;1.488;1.430;1.461;1.418;1.402;1.381;1.367;1.317;1.312;1.274;1.261;1.225;1.219;1.182;1.178;1.153;1.158;1.138;1.148;1.142;1.112;1.102;1.101;1.093;1.075;1.055;1.102;1.095;1.094;1.085;1.089;1.083;1.065;1.057;1.044;1.042;1.031;990;1.002;993;1.013;1.035;1.036;1.031;1.030;1.011;1.006;1.014;995;988;997;980;944;867;794;758;728;705;711;716;709;700;698;688;702;695;692;701;692;685;677;684;680;660;657;648;664;655;653;641;637;630;635;631;634;625;614;597;586
;2_Patronos;2_Entre 25 y 34 años;2.907;2.991;3.067;3.095;3.158;3.275;3.367;3.462;3.562;3.671;3.723;3.767;3.955;4.044;4.238;4.420;4.647;5.038;5.288;5.569;5.950;6.327;6.608;6.769;7.271;7.625;7.923;8.322;9.027;9.679;10.131;10.560;10.934;11.297;11.530;11.713;12.327;12.545;12.878;13.103;13.451;13.799;14.100;14.352;14.666;14.959;15.137;15.066;15.526;15.561;15.720;15.901;16.037;16.158;16.193;16.270;16.379;16.480;16.539;16.408;16.683;16.707;16.649;16.606;16.534;16.417;16.272;16.332;16.403;16.397;16.333;16.096;16.140;15.968;15.920;15.793;15.730;15.678;15.523;15.382;15.284;15.049;14.837;14.571;14.534;14.255;13.993;13.718;13.503;13.307;13.093;12.956;12.809;12.626;12.490;12.350;12.345;12.234;12.164;12.049;12.004;12.003;11.959;11.985;11.959;11.916;11.908;11.885;12.048;11.974;12.011;12.003;11.953;11.898;11.834;11.814;11.826;11.845;11.794;11.647;11.674;11.645;11.659;11.644;11.496;11.406;11.305;11.238;11.254;11.120;11.024;10.880;10.910;10.816;10.604;10.072;9.515;9.272;9.043;8.829;8.826;8.801;8.762;8.617;8.587;8.556;8.587;8.555;8.520;8.484;8.464;8.449;8.490;8.457;8.400;8.288;8.313;8.248;8.208;8.157;8.155;8.020;8.004;7.986;7.961;7.907;7.802;7.712;7.689;7.595;7.577
;2_Patronos;3_Entre 35 y 44 años;6.805;6.902;7.030;7.126;7.256;7.374;7.615;7.728;7.973;8.191;8.359;8.472;8.867;9.014;9.340;9.737;10.125;10.649;11.049;11.468;12.029;12.501;12.954;13.261;14.109;14.721;15.303;16.003;17.178;18.340;19.168;19.972;20.629;21.226;21.703;21.950;22.845;23.297;23.844;24.269;24.951;25.527;25.975;26.509;27.000;27.468;27.749;27.839;28.561;28.664;28.939;29.359;29.671;30.040;30.224;30.406;30.655;30.833;31.081;30.979;31.376;31.396;31.391;31.343;31.317;31.476;31.420;31.544;31.727;31.890;31.878;31.702;31.883;31.800;31.900;31.740;31.690;31.640;31.464;31.404;31.323;31.069;30.881;30.512;30.525;30.249;29.971;29.619;29.334;28.998;28.713;28.516;28.411;28.338;28.202;27.993;27.991;27.821;27.718;27.647;27.615;27.401;27.418;27.382;27.384;27.244;27.165;26.958;27.159;27.023;27.069;27.084;27.004;26.952;26.803;26.774;26.836;26.857;26.721;26.417;26.524;26.380;26.325;26.217;26.078;25.968;25.898;25.712;25.639;25.466;25.300;25.095;25.173;25.024;24.774;23.800;22.804;22.248;21.765;21.441;21.230;21.063;20.909;20.734;20.680;20.634;20.621;20.501;20.470;20.448;20.295;20.257;20.262;20.264;20.159;20.029;20.087;19.988;19.994;19.863;19.800;19.708;19.585;19.525;19.461;19.371;19.259;19.098;19.077;18.974;18.942
;2_Patronos;4_Entre 45 y 64 años;11.962;12.145;12.350;12.649;12.911;13.136;13.464;13.801;14.220;14.619;14.904;15.202;15.867;16.200;16.695;17.245;17.889;18.772;19.536;20.197;21.071;21.959;22.763;23.406;24.710;25.674;26.652;27.805;29.375;31.070;32.456;33.663;34.742;35.800;36.668;37.388;38.758;39.478;40.386;41.206;42.290;43.317;44.336;45.295;46.269;47.180;47.909;48.288;49.389;49.818;50.452;51.092;51.651;52.308;52.847;53.334;53.916;54.494;54.922;55.077;55.825;56.008;56.015;56.133;56.288;56.372;56.403;56.818;57.180;57.448;57.694;57.703;57.859;57.835;57.889;57.831;57.723;57.840;57.843;57.818;57.886;57.839;57.712;57.508;57.534;57.261;56.989;56.708;56.492;56.234;56.017;55.925;55.971;55.933;55.821;55.650;55.720;55.625;55.576;55.441;55.501;55.507;55.683;55.716;55.888;55.980;55.943;55.821;56.022;55.809;55.844;55.776;55.740;55.708;55.752;55.756;55.818;55.893;55.797;55.585;55.807;55.672;55.689;55.664;55.697;55.458;55.377;55.283;55.372;55.182;55.022;54.696;54.696;54.472;54.174;53.139;51.601;50.528;49.686;48.984;48.661;48.406;48.230;47.950;47.777;47.685;47.633;47.484;47.454;47.411;47.220;47.225;47.284;47.276;47.221;47.076;47.103;46.893;46.867;46.671;46.665;46.637;46.613;46.732;46.681;46.608;46.489;46.258;46.212;46.003;46.081
;2_Patronos;5_65 años y más;862;882;893;895;904;926;951;969;1.004;1.046;1.062;1.076;1.126;1.141;1.179;1.213;1.248;1.302;1.345;1.388;1.486;1.533;1.587;1.653;1.754;1.831;1.928;2.019;2.160;2.293;2.408;2.505;2.574;2.661;2.755;2.842;2.961;3.010;3.071;3.179;3.291;3.387;3.477;3.580;3.683;3.752;3.846;3.929;4.067;4.109;4.176;4.280;4.344;4.399;4.516;4.581;4.645;4.698;4.803;4.845;4.895;4.929;4.995;5.032;5.074;5.142;5.174;5.276;5.364;5.411;5.477;5.509;5.566;5.555;5.587;5.593;5.640;5.659;5.654;5.684;5.735;5.772;5.819;5.813;5.822;5.800;5.789;5.797;5.785;5.785;5.786;5.809;5.845;5.836;5.841;5.866;5.881;5.879;5.906;5.910;5.993;5.999;6.075;6.136;6.169;6.191;6.206;6.248;6.295;6.309;6.339;6.361;6.384;6.438;6.455;6.521;6.563;6.576;6.609;6.636;6.658;6.661;6.703;6.723;6.730;6.754;6.775;6.752;6.757;6.743;6.742;6.809;6.764;6.795;6.815;6.767;6.661;6.493;6.350;6.268;6.230;6.168;6.110;6.113;6.097;6.038;5.987;5.929;5.903;5.823;5.797;5.738;5.731;5.726;5.735;5.748;5.715;5.653;5.606;5.573;5.515;5.492;5.502;5.477;5.408;5.386;5.403;5.402;5.283;5.222;5.181
;3_Asalariados;0_Menor a 15 años;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;3_Asalariados;1_Entre 15 y 24 años;260.203;257.148;257.897;259.916;259.274;259.713;261.839;263.480;270.753;273.365;275.246;272.708;271.022;269.917;275.604;279.587;282.640;288.396;291.440;295.234;301.548;306.667;310.058;308.834;308.354;310.449;316.059;324.060;336.720;346.254;352.833;360.369;365.533;369.622;374.354;371.539;371.559;370.662;376.590;381.277;382.281;383.905;388.058;389.820;392.271;397.479;401.558;395.456;397.751;396.938;398.194;401.958;402.002;400.882;402.191;402.801;405.394;408.340;412.328;405.675;405.517;402.708;401.891;405.063;405.476;404.859;405.601;411.717;417.179;421.898;422.651;415.224;411.548;404.192;404.447;403.586;403.196;401.618;398.413;393.400;391.482;386.158;378.881;367.837;353.852;344.843;340.036;336.023;332.911;327.327;324.469;323.400;323.805;323.841;322.762;317.059;315.592;311.521;314.165;313.339;314.920;312.087;309.324;311.426;312.780;312.895;313.382;309.510;309.662;306.619;307.464;309.279;309.249;307.846;307.502;308.293;307.741;309.129;309.507;303.942;301.927;298.100;295.479;296.804;295.694;291.872;292.983;291.334;293.838;290.173;292.190;286.641;285.526;281.924;273.846;245.057;227.333;220.512;218.449;217.512;221.993;226.534;229.650;228.850;229.303;227.669;228.876;230.816;233.077;235.288;236.349;238.510;244.628;248.332;250.643;248.954;250.913;249.560;252.433;254.462;258.162;257.460;257.929;260.904;266.792;270.144;272.329;270.389;270.454;265.945;267.080
;3_Asalariados;2_Entre 25 y 34 años;560.050;558.055;560.676;568.893;572.281;577.290;580.011;582.154;598.715;605.834;611.206;610.984;611.653;613.947;623.022;631.603;639.746;650.854;657.089;663.708;673.567;683.084;689.325;690.957;690.661;697.594;707.000;720.288;738.062;750.757;760.784;768.479;778.915;787.696;795.233;796.459;799.686;802.716;813.321;821.034;828.231;834.000;839.649;843.604;849.358;859.553;866.470;863.010;869.357;872.907;876.904;883.873;888.940;892.246;897.146;899.528;904.822;911.602;917.397;912.409;910.484;912.857;915.404;919.950;923.817;927.360;930.299;935.794;948.210;957.375;961.519;954.269;952.251;947.823;951.362;949.799;952.672;953.495;953.164;949.161;949.915;946.834;939.448;927.121;910.538;901.631;898.617;894.255;892.617;889.682;890.424;891.550;891.877;896.283;896.872;892.905;890.720;888.379;892.484;891.560;894.371;894.405;891.523;896.242;897.713;903.758;907.154;905.107;905.643;902.999;906.726;912.622;916.755;920.023;922.970;923.763;925.495;932.973;934.435;929.006;924.974;920.866;918.523;922.710;923.102;917.985;919.995;914.873;920.343;918.963;920.330;914.074;910.890;904.988;895.527;856.443;823.381;809.918;804.837;801.655;804.154;807.897;811.341;810.557;806.693;807.058;811.854;813.573;816.733;820.847;822.492;824.892;828.469;831.317;834.068;832.349;829.344;830.506;836.246;839.198;843.010;844.437;847.330;852.040;855.341;859.718;862.357;858.596;853.893;847.172;849.616
;3_Asalariados;3_Entre 35 y 44 años;409.033;406.930;408.415;415.365;418.798;422.581;424.889;426.155;435.647;440.175;443.124;442.974;443.842;445.036;450.289;454.982;460.285;467.648;471.287;475.675;481.824;487.805;492.280;493.681;494.784;500.214;505.593;513.766;524.705;533.834;540.574;545.913;552.828;558.562;563.846;565.549;568.582;569.839;575.134;580.546;586.309;590.828;595.878;599.142;603.706;610.598;615.455;615.331;621.017;623.415;627.164;632.175;637.160;640.753;644.983;647.723;652.160;657.541;661.918;661.033;662.667;664.853;666.404;669.196;673.446;677.566;681.155;686.204;694.221;700.767;704.021;702.947;703.403;702.789;705.766;705.379;708.423;710.815;712.429;711.875;714.283;714.054;711.151;705.104;698.291;694.569;693.284;691.062;691.458;691.632;691.959;693.589;694.883;698.712;700.213;699.007;698.688;697.614;701.039;701.010;703.792;705.008;706.235;707.969;709.740;714.301;716.911;716.406;718.707;717.604;719.905;723.605;727.330;730.050;732.537;734.692;736.302;740.741;741.477;739.865;738.167;736.370;735.388;737.345;740.686;738.547;741.202;741.101;743.559;744.596;746.096;743.993;744.070;741.754;737.704;716.295;698.079;690.828;688.176;685.633;686.997;688.981;691.821;692.095;690.411;691.887;695.067;696.630;700.710;704.575;706.454;708.806;712.535;716.339;718.470;718.955;718.316;720.827;725.196;726.895;731.873;734.946;738.046;742.738;745.797;748.892;751.163;749.797;748.074;746.341;747.770
;3_Asalariados;4_Entre 45 y 64 años;433.663;434.227;436.260;441.159;444.631;448.680;452.475;454.022;460.800;462.356;465.445;466.241;468.197;470.825;475.743;479.933;485.828;493.632;498.643;503.475;509.998;515.147;519.803;522.918;525.727;530.018;535.246;541.720;550.920;559.347;566.479;572.896;579.668;586.203;589.883;593.107;597.130;597.532;602.773;607.414;613.439;618.370;623.797;628.246;632.373;638.845;643.915;645.592;651.271;653.346;657.082;661.387;666.780;671.055;675.972;679.552;683.713;687.230;687.227;685.794;687.158;689.202;689.670;691.266;695.061;698.345;701.818;706.601;710.649;714.810;717.547;716.112;716.487;716.129;718.297;717.575;719.465;721.828;723.781;724.224;726.336;726.541;724.586;719.924;713.900;710.358;708.988;706.288;706.966;706.939;705.921;705.052;706.516;709.156;708.922;708.361;707.439;706.953;709.581;707.530;709.717;710.909;713.553;715.679;717.377;720.964;722.693;723.608;724.536;723.376;725.301;727.303;730.053;732.729;735.583;738.396;739.521;743.204;744.451;744.018;742.223;740.885;740.719;741.089;744.933;742.397;744.737;744.605;745.521;745.160;745.244;744.030;743.110;740.856;738.044;721.357;705.781;698.008;694.055;690.699;689.189;688.116;689.438;689.463;685.860;685.817;688.617;688.810;691.821;695.422;698.306;701.146;704.186;706.526;709.142;710.573;710.088;711.433;713.985;714.349;718.723;722.787;726.417;731.192;734.212;737.074;740.094;740.476;739.771;739.546;741.439
