;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CUADRO N° 26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CARACTERÍSTICAS SOCIO-DEMOGRÁFICAS - SECTOR PÚBLICO - POR GRUPO DE EDAD - 18 A 29 AÑOS, 2009 - 2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Desagregaciones;ene.-09;feb.-09;mar.-09;abr.-09;may.-09;jun.-09;jul.-09;ago.-09;sep.-09;oct.-09;nov.-09;dic.-09;ene.-10;feb.-10;mar.-10;abr.-10;may.-10;jun.-10;jul.-10;ago.-10;sep.-10;oct.-10;nov.-10;dic.-10;ene.-11;feb.-11;mar.-11;abr.-11;may.-11;jun.-11;jul.-11;ago.-11;sep.-11;oct.-11;nov.-11;dic.-11;ene.-12;feb.-12;mar.-12;abr.-12;may.-12;jun.-12;jul.-12;ago.-12;sep.-12;oct.-12;nov.-12;dic.-12;ene.-13;feb.-13;mar.-13;abr.-13;may.-13;jun.-13;jul.-13;ago.-13;sep.-13;oct.-13;nov.-13;dic.-13;ene.-14;feb.-14;mar.-14;abr.-14;may.-14;jun.-14;jul.-14;ago.-14;sep.-14;oct.-14;nov.-14;dic.-14;ene.-15;feb.-15;mar.-15;abr.-15;may.-15;jun.-15;jul.-15;ago.-15;sep.-15;oct.-15;nov.-15;dic.-15;ene.-16;feb.-16;mar.-16;abr.-16;may.-16;jun.-16;jul.-16;ago.-16;sep.-16;oct.-16;nov.-16;dic.-16;ene.-17;feb.-17;mar.-17;abr.-17;may.-17;jun.-17;jul.-17;ago.-17;sep.-17;oct.-17;nov.-17;dic.-17;ene.-18;feb.-18;mar.-18;abr.-18;may.-18;jun.-18;jul.-18;ago.-18;sep.-18;oct.-18;nov.-18;dic.-18;ene.-19;feb.-19;mar.-19;abr.-19;may.-19;jun.-19;jul.-19;ago.-19;sep.-19;oct.-19;nov.-19;dic.-19;ene.-20;feb.-20;mar.-20;abr.-20;may.-20;jun.-20;jul.-20;ago.-20;sep.-20;oct.-20;nov.-20;dic.-20;ene.-21;feb.-21;mar.-21;abr.-21;may.-21;jun.-21;jul.-21;ago.-21;sep.-21;oct.-21;nov.-21;dic.-21;ene.-22;feb.-22;mar.-22;abr.-22;may.-22;jun.-22;jul.-22;ago.-22;sep.-22;oct.-22;nov.-22;dic.-22;ene.-23;feb.-23;mar.-23
;0_Menor a 15 años;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1_Entre 15 y 17 años;44;54;61;74;65;58;53;47;54;62;53;41;40;48;51;52;51;49;42;50;52;48;45;41;42;45;42;48;46;50;48;47;44;37;34;34;44;40;52;44;36;32;31;29;26;29;25;22;38;41;43;37;36;35;32;29;26;24;23;21;22;20;23;20;17;21;17;16;16;19;17;14;16;16;17;20;18;13;14;16;13;15;11;12;9;9;9;8;6;5;5;3;4;3;3;2;6;6;7;5;6;4;6;4;4;5;3;3;4;8;8;6;4;3;3;2;2;3;3;2;9;13;7;3;3;6;8;6;5;2;2;1;3;3;3;3;3;3;1;;1;1;1;1;2;1;2;3;2;2;4;4;4;3;1;1;;;;;1;1;2;;;;;;1;1;
;2_Entre 18 y 29 años;50.641;52.462;53.400;57.278;59.031;60.206;57.963;56.329;62.601;65.543;66.259;66.389;61.724;66.750;68.805;70.289;71.703;73.249;73.917;74.841;76.470;78.579;79.785;80.231;75.111;78.723;79.861;81.189;81.815;82.033;81.798;81.097;82.841;84.429;87.434;88.649;84.731;91.544;97.901;100.766;99.264;101.338;102.473;102.822;103.667;105.620;108.291;108.116;105.643;114.995;114.174;115.159;116.525;118.263;118.443;118.713;119.253;120.507;122.193;121.801;115.887;120.427;122.943;124.313;124.142;126.138;127.516;127.051;129.977;132.658;134.115;131.515;129.834;131.131;132.022;132.418;134.158;134.947;135.479;133.698;133.548;133.051;131.826;129.766;122.293;122.192;123.321;122.708;123.863;122.506;124.858;124.315;122.600;123.798;124.624;124.253;121.480;123.576;123.814;123.567;125.329;124.243;120.696;124.764;123.857;124.752;125.342;125.317;123.309;123.641;123.390;123.206;124.699;125.078;124.635;121.971;120.467;121.588;121.957;120.869;117.253;117.874;116.630;113.025;112.583;110.201;109.024;104.476;108.501;108.577;108.906;107.322;102.079;102.511;101.298;100.228;97.721;96.383;94.719;94.144;93.854;92.610;91.577;90.933;87.620;87.427;86.385;85.925;86.153;85.971;84.908;83.671;83.098;81.898;81.014;80.361;76.939;78.538;79.731;79.156;78.502;78.476;78.294;78.910;80.193;79.828;79.794;81.733;79.032;79.792;78.787
;3_Entre 30 y 44 años;143.718;143.329;143.415;150.083;153.149;154.764;153.042;151.225;158.748;161.797;163.165;163.441;158.923;165.203;167.225;169.473;171.822;174.464;176.189;177.638;179.287;182.044;184.286;185.155;180.671;184.718;185.593;187.798;189.627;190.693;191.306;190.595;192.582;194.986;197.078;198.689;194.312;198.489;201.735;204.504;205.365;207.550;208.837;209.309;210.214;212.628;215.428;216.218;213.659;220.558;221.273;223.809;227.148;229.404;230.477;231.388;232.212;234.229;237.367;237.505;230.872;235.593;237.874;239.962;241.744;244.959;246.986;247.132;251.731;255.919;259.743;259.452;256.382;258.853;260.636;261.638;264.140;266.023;267.530;267.439;268.609;270.165;270.630;270.061;262.381;263.577;264.687;265.109;267.751;268.623;270.044;271.333;271.517;275.148;278.138;279.372;276.217;278.600;280.463;281.888;284.172;284.903;285.593;287.612;287.630;290.789;292.900;294.823;293.380;294.848;295.516;297.200;300.378;302.719;303.865;303.612;303.816;306.581;308.412;309.446;305.358;306.648;306.163;304.804;307.946;304.484;304.580;303.815;305.260;307.801;309.583;309.621;304.427;305.547;305.358;304.964;304.154;303.953;302.926;303.046;302.172;301.454;302.930;303.335;299.772;301.263;301.859;302.600;303.981;304.602;304.741;304.618;304.598;304.310;304.841;306.270;300.423;303.983;305.660;306.160;307.444;309.835;310.621;311.817;312.329;312.887;315.293;316.649;313.357;314.940;314.458
;4_Entre 45 y 64 años;184.888;185.116;185.454;188.111;189.726;190.868;191.945;191.696;194.004;193.219;193.949;194.142;192.867;196.874;197.908;198.766;200.304;202.027;203.186;204.164;205.556;206.106;207.264;207.919;206.864;208.435;208.891;209.963;210.849;211.527;212.200;212.759;213.828;215.087;214.495;215.217;213.652;212.931;213.725;214.638;214.896;215.629;216.191;216.441;216.334;217.422;218.650;219.256;218.907;220.722;220.960;222.386;224.324;225.398;225.897;226.074;226.577;226.147;223.459;222.069;220.195;221.890;221.653;222.388;223.672;224.274;225.379;225.908;225.619;226.606;227.498;226.612;225.952;227.124;227.671;227.481;228.346;229.246;229.629;229.707;230.112;230.666;230.317;229.386;225.769;226.086;226.047;225.575;226.483;226.374;224.795;222.972;223.135;224.331;223.871;224.049;223.111;223.880;224.747;223.980;225.061;225.225;226.115;227.085;227.134;228.525;229.226;230.284;230.189;230.721;231.233;231.704;232.586;233.192;234.069;234.469;234.443;235.525;236.312;236.898;235.231;235.769;235.610;234.013;236.804;233.814;234.255;234.155;233.755;233.336;233.988;234.209;232.706;233.313;232.842;231.697;231.337;231.389;231.296;231.241;229.789;227.672;228.420;228.054;226.325;226.526;227.060;226.908;227.863;228.279;229.050;229.685;229.688;229.578;230.255;231.387;230.288;231.857;232.111;231.682;232.639;234.317;235.066;236.314;236.667;236.786;238.329;239.437;239.455;241.204;241.188
;5_65 años y más;17.833;17.953;18.133;18.314;18.456;18.623;18.766;18.844;18.997;17.074;17.231;17.347;17.206;17.386;17.531;17.457;17.638;17.790;17.989;18.175;18.392;18.081;16.938;16.783;16.387;16.449;16.438;16.464;16.480;16.536;16.728;16.844;16.188;16.127;15.703;15.785;15.566;14.360;14.420;14.496;14.457;14.521;14.687;14.769;14.794;14.779;14.922;15.063;14.955;14.768;14.643;14.681;14.816;14.704;14.692;13.782;13.460;13.156;12.711;12.564;12.537;12.594;12.597;12.659;12.623;12.656;12.795;12.437;11.534;11.382;11.315;10.969;10.807;10.908;11.030;10.824;10.915;11.024;11.026;11.164;11.320;11.374;11.391;11.440;11.034;11.118;11.172;11.130;11.144;10.321;9.607;9.213;9.131;9.175;8.721;8.653;8.529;8.602;8.671;8.406;8.496;8.407;8.487;8.577;8.579;8.657;8.646;8.735;8.730;8.603;8.583;8.422;8.478;8.549;8.617;8.701;8.746;8.770;8.780;8.808;8.659;8.685;8.677;8.484;8.711;8.443;8.514;8.560;8.459;8.278;8.302;8.354;8.171;8.212;8.265;8.195;8.276;8.278;8.246;8.268;8.238;8.092;8.160;8.144;7.919;7.902;8.025;7.884;8.012;7.967;8.051;8.103;8.179;8.238;8.273;8.393;8.358;8.412;8.463;8.251;8.226;8.310;8.413;8.549;8.666;8.685;8.795;8.853;8.856;8.919;8.959
;Total Plazas de empleo registrado;397.124;398.914;400.463;413.860;420.427;424.519;421.769;418.141;434.404;437.695;440.657;441.360;430.760;446.261;451.520;456.037;461.518;467.579;471.323;474.868;479.757;484.858;488.318;490.129;479.075;488.370;490.825;495.462;498.817;500.839;502.080;501.342;505.483;510.666;514.744;518.374;508.305;517.364;527.833;534.448;534.018;539.070;542.219;543.370;545.035;550.478;557.316;558.675;553.202;571.084;571.093;576.072;582.849;587.804;589.541;589.986;591.528;594.063;595.753;593.960;579.513;590.524;595.090;599.342;602.198;608.048;612.693;612.544;618.877;626.584;632.688;628.562;622.991;628.032;631.376;632.381;637.577;641.253;643.678;642.024;643.602;645.271;644.175;640.665;621.486;622.982;625.236;624.530;629.247;627.829;629.309;627.836;626.387;632.455;635.357;636.329;629.343;634.664;637.702;637.846;643.064;642.782;640.897;648.042;647.204;652.728;656.117;659.162;655.612;657.821;658.730;660.538;666.145;669.541;671.189;668.755;667.474;672.467;675.464;676.023;666.510;668.989;667.087;660.329;666.047;656.948;656.381;651.012;655.980;657.994;660.781;659.507;647.386;649.586;647.766;645.087;641.491;640.006;637.188;636.699;634.054;629.829;631.088;630.467;621.638;623.119;623.331;623.320;626.011;626.821;626.754;626.081;625.567;624.027;624.384;626.412;616.008;622.790;625.965;625.249;626.812;630.939;632.396;635.590;637.855;638.186;642.211;646.672;640.701;644.856;643.392
