;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CUADRO N° 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CARACTERÍSTICAS SOCIO-DEMOGRÁFICAS - EMPLEO DEL SEGURO SOCIAL CAMPESINO - POR GRUPO DE EDAD, 2009 - 2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Desagregaciones;ene.-09;feb.-09;mar.-09;abr.-09;may.-09;jun.-09;jul.-09;ago.-09;sep.-09;oct.-09;nov.-09;dic.-09;ene.-10;feb.-10;mar.-10;abr.-10;may.-10;jun.-10;jul.-10;ago.-10;sep.-10;oct.-10;nov.-10;dic.-10;ene.-11;feb.-11;mar.-11;abr.-11;may.-11;jun.-11;jul.-11;ago.-11;sep.-11;oct.-11;nov.-11;dic.-11;ene.-12;feb.-12;mar.-12;abr.-12;may.-12;jun.-12;jul.-12;ago.-12;sep.-12;oct.-12;nov.-12;dic.-12;ene.-13;feb.-13;mar.-13;abr.-13;may.-13;jun.-13;jul.-13;ago.-13;sep.-13;oct.-13;nov.-13;dic.-13;ene.-14;feb.-14;mar.-14;abr.-14;may.-14;jun.-14;jul.-14;ago.-14;sep.-14;oct.-14;nov.-14;dic.-14;ene.-15;feb.-15;mar.-15;abr.-15;may.-15;jun.-15;jul.-15;ago.-15;sep.-15;oct.-15;nov.-15;dic.-15;ene.-16;feb.-16;mar.-16;abr.-16;may.-16;jun.-16;jul.-16;ago.-16;sep.-16;oct.-16;nov.-16;dic.-16;ene.-17;feb.-17;mar.-17;abr.-17;may.-17;jun.-17;jul.-17;ago.-17;sep.-17;oct.-17;nov.-17;dic.-17;ene.-18;feb.-18;mar.-18;abr.-18;may.-18;jun.-18;jul.-18;ago.-18;sep.-18;oct.-18;nov.-18;dic.-18;ene.-19;feb.-19;mar.-19;abr.-19;may.-19;jun.-19;jul.-19;ago.-19;sep.-19;oct.-19;nov.-19;dic.-19;ene.-20;feb.-20;mar.-20;abr.-20;may.-20;jun.-20;jul.-20;ago.-20;sep.-20;oct.-20;nov.-20;dic.-20;ene.-21;feb.-21;mar.-21;abr.-21;may.-21;jun.-21;jul.-21;ago.-21;sep.-21;oct.-21;nov.-21;dic.-21;ene.-22;feb.-22;mar.-22;abr.-22;may.-22;jun.-22;jul.-22;ago.-22;sep.-22;oct.-22;nov.-22;dic.-22;ene.-23;feb.-23;mar.-23
;0_Menor a 15 años;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1_Entre 15 y 24 años;1.311;1.320;1.305;1.296;1.315;1.357;1.404;1.387;1.373;1.377;1.450;1.523;1.494;1.470;1.495;1.671;2.370;4.496;4.726;4.849;4.821;4.893;5.014;5.144;5.232;5.279;5.324;5.415;5.556;5.657;5.758;5.880;6.050;6.292;6.549;6.794;6.923;7.062;7.379;7.710;7.999;8.322;8.615;9.016;9.383;9.900;10.051;10.112;10.256;10.321;10.390;10.544;10.597;10.655;10.710;10.503;10.419;10.366;10.302;10.240;10.116;10.194;10.190;10.201;10.224;10.196;10.242;10.271;10.231;10.218;10.251;10.238;10.138;10.066;10.153;10.335;10.333;10.561;10.599;10.688;10.752;10.885;10.896;11.021;10.861;10.893;10.821;10.817;10.564;10.483;10.466;10.489;10.411;10.450;10.511;10.592;10.454;10.448;10.478;10.546;10.623;10.715;10.514;10.250;10.076;9.978;9.747;9.628;9.418;9.217;8.994;8.818;8.643;8.516;8.490;8.668;8.766;8.769;9.097;9.435;9.424;9.586;9.447;9.298;9.254;9.063;9.083;9.062;9.207;9.248;9.217;9.219;9.101;9.037;8.862;8.763;8.589;8.442;8.302;8.183;8.070;7.948;8.004;8.053;7.964;7.880;7.888;7.856;7.894;7.917;7.963;8.031;8.122;8.191;8.217;8.315;8.316;8.311;8.302;8.306;8.269;8.244;8.112;8.161;8.127;8.085;8.128;8.125;8.033;8.037;7.985
;2_Entre 25 y 34 años;7.769;7.882;7.942;7.920;7.991;8.041;8.219;8.251;8.248;8.275;8.518;8.884;8.901;8.865;8.918;9.854;13.475;24.741;26.165;26.622;26.530;26.731;27.116;27.706;28.055;28.452;28.476;28.812;29.056;29.314;29.501;29.960;30.476;31.075;31.786;32.480;32.904;33.404;34.411;35.302;36.396;37.311;38.403;39.646;40.611;41.663;42.342;42.788;43.442;43.834;44.322;44.782;45.051;45.152;45.332;45.160;45.127;45.171;45.336;45.455;45.309;45.737;45.837;46.103;46.169;46.154;46.187;46.213;46.249;46.239;46.448;46.385;46.252;46.201;46.276;46.445;46.607;47.182;47.335;47.462;47.771;48.049;48.190;48.518;48.245;48.347;48.266;48.115;47.634;47.344;47.141;47.011;46.851;46.811;46.750;46.736;46.537;46.443;46.492;46.354;46.312;46.158;45.784;45.278;44.980;44.785;44.461;44.212;43.635;43.099;42.591;42.090;41.588;41.227;41.129;41.486;41.562;41.589;42.186;42.735;42.706;42.782;42.572;42.190;42.046;41.715;41.669;41.587;41.673;41.553;41.521;41.403;41.081;40.840;40.555;40.396;40.081;39.698;39.198;39.012;38.777;38.527;38.381;38.334;38.049;37.869;37.699;37.684;37.603;37.483;37.422;37.376;37.222;37.099;36.885;36.801;36.549;36.409;36.191;36.052;35.837;35.729;35.522;35.398;35.073;34.889;34.794;34.709;34.457;34.354;34.139
;3_Entre 35 y 44 años;12.384;12.497;12.570;12.602;12.621;12.638;12.916;12.977;13.089;13.119;13.425;13.880;13.891;13.862;13.918;15.369;21.044;38.596;40.800;41.428;41.548;41.859;42.198;42.684;43.114;43.554;43.720;44.185;44.574;44.997;45.322;45.932;46.666;47.406;48.192;48.923;49.531;50.104;51.363;52.390;53.678;54.840;56.192;57.576;58.913;59.972;60.805;61.419;62.390;62.972;63.719;64.540;65.011;65.366;65.768;65.837;65.973;66.134;66.480;66.763;66.897;67.479;67.855;68.531;69.052;69.275;69.549;69.683;69.952;70.115;70.336;70.454;70.622;70.746;70.943;71.342;71.527;72.160;72.394;72.560;72.866;73.239;73.479;74.070;73.944;74.246;74.281;74.289;73.856;73.591;73.393;73.280;73.238;73.207;73.289;73.440;73.419;73.416;73.374;73.330;73.336;73.216;72.805;72.445;72.129;71.858;71.601;71.380;71.034;70.629;70.133;69.719;69.248;68.873;68.749;69.073;69.139;69.138;69.536;70.020;69.965;70.043;69.763;69.463;69.225;68.857;68.734;68.690;68.778;68.720;68.601;68.495;68.589;68.450;68.279;68.296;68.086;67.660;67.105;67.272;67.027;66.746;66.448;66.583;66.325;66.157;65.979;65.898;65.789;65.582;65.294;65.212;65.149;64.977;64.846;64.763;64.553;64.426;64.206;64.115;63.875;63.589;63.275;63.182;62.771;62.518;62.453;62.142;61.893;61.865;61.595
;4_Entre 45 y 64 años;26.902;27.141;27.298;27.362;27.537;27.602;28.092;28.263;28.530;28.745;29.380;30.268;30.409;30.415;30.654;33.614;45.669;82.888;87.370;88.524;89.168;90.073;90.958;92.116;92.872;93.906;94.623;95.549;96.791;97.883;98.689;99.912;101.253;102.841;104.802;106.414;107.476;108.664;110.613;112.369;114.595;116.529;118.993;121.410;123.425;125.049;126.761;128.099;130.077;131.515;133.118;134.473;135.823;136.906;137.901;138.272;138.830;139.638;140.556;141.279;142.008;143.401;144.375;145.758;146.513;147.099;148.096;148.817;149.644;150.303;150.951;151.390;152.025;152.496;153.054;153.892;154.520;155.992;157.019;157.672;158.473;159.313;159.987;161.062;161.237;161.717;162.232;162.496;162.306;162.437;162.490;162.590;162.977;163.227;163.600;164.018;164.321;164.614;164.972;165.230;165.697;165.853;165.702;165.492;165.524;165.634;165.550;165.639;165.377;165.031;164.563;164.157;163.803;163.814;164.207;165.230;165.782;166.371;167.636;168.946;169.406;170.011;170.105;169.979;170.257;170.007;170.521;170.810;171.524;171.812;172.048;172.255;172.286;172.431;172.403;172.417;172.186;171.677;170.784;171.528;171.439;171.369;171.164;171.742;171.642;171.720;171.907;172.237;172.564;172.757;173.049;173.308;173.679;173.692;173.608;173.686;173.835;173.955;174.047;174.171;174.343;174.505;174.544;174.824;174.624;174.477;174.635;174.529;174.640;175.243;175.437
;5_65 años y más;17.978;18.028;18.129;18.241;18.359;18.455;18.747;18.945;19.144;19.338;19.708;20.249;20.309;20.357;20.526;22.174;28.848;49.945;52.261;52.997;53.481;54.207;54.821;55.360;55.724;56.030;56.223;56.686;57.309;57.887;58.559;59.302;59.743;60.506;61.526;62.317;62.862;63.218;62.535;63.353;64.457;65.546;66.873;68.070;69.143;70.164;71.090;72.114;73.135;73.845;74.586;75.364;76.162;76.734;77.548;77.768;78.340;79.002;79.487;79.906;80.451;81.066;81.553;82.303;83.013;83.533;84.108;84.763;85.429;86.099;86.571;87.126;87.400;87.744;88.173;88.796;89.329;90.006;90.727;91.335;92.035;92.754;93.380;94.027;94.473;94.893;95.197;95.455;95.749;96.072;96.330;96.708;97.069;97.327;97.553;97.853;97.983;98.149;98.416;98.754;99.034;99.161;99.290;99.317;99.303;99.366;99.462;98.781;98.389;97.813;97.432;97.218;96.691;96.551;96.793;96.983;96.718;96.690;96.593;96.414;96.069;95.633;95.513;95.211;94.941;94.517;94.456;94.621;94.679;94.806;94.958;94.877;94.747;94.236;94.175;94.342;94.383;94.233;93.860;94.056;94.028;93.372;92.884;92.768;92.335;91.837;91.391;91.017;90.676;90.259;90.100;89.935;89.647;89.510;89.242;89.044;88.669;87.899;87.581;87.109;86.494;86.803;85.716;85.367;84.681;84.259;84.068;83.898;82.962;82.409;81.899
;Total Empleo registrado;66.344;66.868;67.244;67.421;67.823;68.093;69.378;69.823;70.384;70.854;72.481;74.804;75.004;74.969;75.511;82.682;111.406;200.666;211.322;214.420;215.548;217.763;220.107;223.010;224.997;227.221;228.366;230.647;233.286;235.738;237.829;240.986;244.188;248.120;252.855;256.928;259.696;262.452;266.301;271.124;277.125;282.548;289.076;295.718;301.475;306.748;311.049;314.532;319.300;322.487;326.135;329.703;332.644;334.813;337.259;337.540;338.689;340.311;342.161;343.643;344.781;347.877;349.810;352.896;354.971;356.257;358.182;359.747;361.505;362.974;364.557;365.593;366.437;367.253;368.599;370.810;372.316;375.901;378.074;379.717;381.897;384.240;385.932;388.698;388.760;390.096;390.797;391.172;390.109;389.927;389.820;390.078;390.546;391.022;391.703;392.639;392.714;393.070;393.732;394.214;395.002;395.103;394.095;392.782;392.012;391.621;390.821;389.640;387.853;385.789;383.713;382.002;379.973;378.981;379.368;381.440;381.967;382.557;385.048;387.550;387.570;388.055;387.400;386.141;385.723;384.159;384.463;384.770;385.861;386.139;386.345;386.249;385.804;384.994;384.274;384.214;383.325;381.710;379.249;380.051;379.341;377.962;376.881;377.480;376.315;375.463;374.864;374.692;374.526;373.998;373.828;373.862;373.819;373.469;372.798;372.609;371.922;371.000;370.327;369.753;368.818;368.870;367.169;366.932;365.276;364.228;364.078;363.403;361.985;361.908;361.055
