;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CUADRO N° 43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CARACTERÍSTICAS SOCIO-DEMOGRÁFICAS, OCUPACIONALES Y DEL EMPLEADOR - GRUPO DE EDAD - POR CONDICIÓN DE TRABAJO, 2009 - 2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Desagregaciones;edadc;ene.-09;feb.-09;mar.-09;abr.-09;may.-09;jun.-09;jul.-09;ago.-09;sep.-09;oct.-09;nov.-09;dic.-09;ene.-10;feb.-10;mar.-10;abr.-10;may.-10;jun.-10;jul.-10;ago.-10;sep.-10;oct.-10;nov.-10;dic.-10;ene.-11;feb.-11;mar.-11;abr.-11;may.-11;jun.-11;jul.-11;ago.-11;sep.-11;oct.-11;nov.-11;dic.-11;ene.-12;feb.-12;mar.-12;abr.-12;may.-12;jun.-12;jul.-12;ago.-12;sep.-12;oct.-12;nov.-12;dic.-12;ene.-13;feb.-13;mar.-13;abr.-13;may.-13;jun.-13;jul.-13;ago.-13;sep.-13;oct.-13;nov.-13;dic.-13;ene.-14;feb.-14;mar.-14;abr.-14;may.-14;jun.-14;jul.-14;ago.-14;sep.-14;oct.-14;nov.-14;dic.-14;ene.-15;feb.-15;mar.-15;abr.-15;may.-15;jun.-15;jul.-15;ago.-15;sep.-15;oct.-15;nov.-15;dic.-15;ene.-16;feb.-16;mar.-16;abr.-16;may.-16;jun.-16;jul.-16;ago.-16;sep.-16;oct.-16;nov.-16;dic.-16;ene.-17;feb.-17;mar.-17;abr.-17;may.-17;jun.-17;jul.-17;ago.-17;sep.-17;oct.-17;nov.-17;dic.-17;ene.-18;feb.-18;mar.-18;abr.-18;may.-18;jun.-18;jul.-18;ago.-18;sep.-18;oct.-18;nov.-18;dic.-18;ene.-19;feb.-19;mar.-19;abr.-19;may.-19;jun.-19;jul.-19;ago.-19;sep.-19;oct.-19;nov.-19;dic.-19;ene.-20;feb.-20;mar.-20;abr.-20;may.-20;jun.-20;jul.-20;ago.-20;sep.-20;oct.-20;nov.-20;dic.-20;ene.-21;feb.-21;mar.-21;abr.-21;may.-21;jun.-21;jul.-21;ago.-21;sep.-21;oct.-21;nov.-21;dic.-21;ene.-22;feb.-22;mar.-22;abr.-22;may.-22;jun.-22;jul.-22;ago.-22;sep.-22;oct.-22;nov.-22;dic.-22;ene.-23;feb.-23;mar.-23
;1_Cuenta Propia;0_Menor a 15 años;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1_Cuenta Propia;1_Entre 15 y 24 años;214;201;211;209;216;233;239;237;229;244;257;267;291;307;324;342;376;421;458;498;562;624;687;722;836;869;936;1.024;1.065;1.150;1.238;1.326;1.432;1.557;1.703;1.785;1.807;1.805;1.831;1.856;1.948;1.998;2.105;2.172;2.235;2.318;2.506;2.449;2.446;2.460;2.485;2.540;2.599;2.683;2.743;2.735;2.760;2.817;2.853;2.835;2.841;2.855;2.797;2.698;2.646;2.638;2.512;2.442;2.421;2.342;2.303;2.216;2.176;2.122;2.100;2.089;2.076;2.020;1.930;1.934;1.947;1.906;1.930;1.887;1.802;1.768;1.698;1.646;1.608;1.592;1.531;1.477;1.497;1.466;1.421;1.419;1.360;1.343;1.414;1.372;1.296;1.291;1.387;1.438;1.489;1.500;1.511;1.557;2.128;2.027;1.741;1.740;1.747;1.765;1.750;1.798;1.957;1.973;2.208;2.307;2.279;2.271;2.545;2.270;2.179;2.245;2.228;2.203;2.235;2.309;2.374;2.355;2.199;2.221;2.211;2.113;2.016;1.971;1.949;2.029;2.093;2.119;2.183;2.172;2.233;2.237;2.294;2.324;2.342;2.362;2.399;2.425;2.407;2.427;2.465;2.457;2.535;2.585;2.642;2.653;2.686;2.735;2.775;2.773;2.801;2.838;2.831;2.825;2.722;2.598;2.567
;1_Cuenta Propia;2_Entre 25 y 34 años;2.246;2.303;2.354;2.419;2.501;2.600;2.746;2.864;2.901;2.988;3.081;3.228;3.475;3.572;3.765;4.030;4.241;4.624;5.048;5.333;5.709;6.055;6.452;6.828;7.730;8.112;8.596;9.109;9.493;10.186;10.766;11.376;11.929;12.530;13.114;13.665;14.404;14.706;15.063;15.408;15.921;16.409;16.935;17.431;17.951;18.480;19.106;19.296;19.809;19.963;20.331;20.746;21.126;21.557;21.993;22.269;22.491;22.553;22.715;22.797;23.274;23.156;22.968;22.605;22.326;22.147;21.736;21.417;21.151;20.801;20.609;20.303;20.317;20.137;19.997;19.802;19.689;19.601;19.272;19.012;18.973;18.776;18.701;18.451;18.344;18.253;18.047;17.824;17.575;17.420;17.108;16.908;16.866;16.601;16.448;16.353;16.066;15.959;15.923;15.746;15.531;15.509;16.314;16.579;16.990;17.047;17.143;17.264;18.400;18.203;17.819;17.781;17.831;17.921;17.992;18.265;18.777;18.835;19.524;19.687;19.967;19.839;20.481;20.285;20.275;20.562;20.617;20.865;21.039;21.294;21.450;21.530;21.609;21.768;21.794;21.590;21.333;21.143;21.011;21.524;21.924;22.114;22.349;22.364;22.753;22.815;23.178;23.518;23.815;24.051;24.416;24.567;24.777;24.987;24.913;24.893;25.422;25.565;25.835;26.041;26.222;26.483;26.576;26.772;27.187;27.262;27.162;27.027;27.222;26.893;26.816
;1_Cuenta Propia;3_Entre 35 y 44 años;4.127;4.256;4.434;4.524;4.614;4.741;4.879;5.083;5.149;5.305;5.487;5.672;6.132;6.289;6.545;6.868;7.191;7.773;8.312;8.728;9.269;9.804;10.376;10.971;12.266;12.962;13.658;14.366;15.078;16.100;16.928;17.675;18.367;19.233;19.889;20.764;21.930;22.511;23.179;23.800;24.535;25.278;26.100;26.893;27.650;28.520;29.334;29.825;30.676;31.227;31.904;32.494;33.116;33.925;34.735;35.474;35.786;36.296;36.653;37.025;37.774;37.861;37.933;37.850;37.699;37.613;37.476;37.434;37.340;37.196;37.221;37.117;37.334;37.196;37.154;37.120;37.068;36.948;36.957;36.855;36.901;36.742;36.719;36.713;36.618;36.479;36.362;36.031;35.869;35.786;35.570;35.383;35.284;34.956;34.735;34.605;34.538;34.411;34.350;34.185;34.074;33.997;34.615;34.951;35.196;35.081;35.233;35.402;36.107;36.096;35.978;35.926;35.932;35.924;35.969;36.078;36.282;36.267;36.591;36.767;37.254;37.320;37.611;37.446;37.344;37.338;37.309;37.470;37.635;37.711;37.869;37.956;38.159;38.284;38.448;38.770;39.023;39.018;38.890;39.089;39.348;39.433;39.570;39.459;39.770;39.902;40.092;40.412;40.655;40.812;41.161;41.314;41.422;41.381;41.333;41.332;41.791;41.824;42.092;42.360;42.423;42.438;42.618;42.862;42.932;43.046;42.966;42.855;43.081;42.944;43.210
;1_Cuenta Propia;4_Entre 45 y 64 años;8.753;8.988;9.402;9.620;9.895;10.216;10.587;10.910;11.249;11.699;12.086;12.583;13.453;13.898;14.615;15.241;15.903;17.125;18.124;19.000;19.947;21.022;22.075;23.037;25.185;26.222;27.456;28.777;30.113;31.952;33.424;34.869;36.212;37.567;39.113;40.536;42.474;43.896;45.242;46.442;47.927;49.273;50.832;52.200;53.548;55.013;56.365;57.446;59.070;60.158;61.350;62.599;63.739;65.067;66.566;67.847;68.868;69.927;70.856;71.606;73.054;73.509;73.823;73.946;73.992;74.095;74.224;74.264;74.461;74.422;74.470;74.576;75.006;75.106;75.341;75.478;75.625;75.785;75.853;75.838;75.919;75.923;76.101;76.142;76.185;76.187;76.106;75.993;75.893;75.858;75.926;75.906;75.998;75.935;75.906;75.881;75.911;75.933;75.999;76.098;76.084;76.083;77.588;78.558;79.190;79.488;79.844;80.100;81.031;81.342;81.560;81.819;82.103;82.470;82.911;83.395;84.033;84.300;84.867;85.293;86.219;86.588;87.254;87.386;87.475;87.830;88.010;88.317;88.589;88.905;89.379;89.760;90.424;90.765;91.106;91.758;92.385;92.807;93.054;93.729;94.084;94.529;94.839;95.167;95.869;96.095;96.716;97.211;97.651;97.980;98.346;98.732;98.981;99.201;99.310;99.487;100.359;100.701;101.058;101.511;101.770;102.090;102.478;102.874;103.254;103.550;103.754;104.153;104.885;105.163;105.844
;1_Cuenta Propia;5_65 años y más;624;638;653;675;691;710;758;769;790;811;845;886;924;955;1.006;1.033;1.083;1.154;1.230;1.269;1.342;1.423;1.507;1.544;1.713;1.818;1.907;1.968;2.044;2.159;2.316;2.442;2.592;2.704;2.837;2.948;3.114;3.237;3.358;3.480;3.626;3.770;3.928;4.090;4.181;4.384;4.526;4.689;4.843;4.958;5.138;5.310;5.460;5.599;5.741;5.936;6.101;6.231;6.320;6.408;6.549;6.562;6.590;6.630;6.673;6.710;6.734;6.726;6.782;6.809;6.846;6.913;6.950;6.986;7.023;7.060;7.122;7.170;7.262;7.279;7.333;7.402;7.448;7.521;7.541;7.587;7.664;7.660;7.755;7.821;7.864;7.976;8.003;8.069;8.166;8.252;8.300;8.364;8.415;8.496;8.554;8.641;8.902;9.063;9.239;9.358;9.501;9.696;9.872;9.976;10.144;10.225;10.355;10.460;10.606;10.722;10.844;10.985;11.124;11.254;11.386;11.459;11.539;11.602;11.673;11.802;11.833;12.026;12.162;12.318;12.469;12.566;12.761;12.868;13.093;13.316;13.473;13.555;13.703;13.913;13.994;14.157;14.283;14.424;14.438;14.507;14.550;14.619;14.676;14.779;14.917;15.001;15.029;15.101;15.161;15.248;15.249;15.274;15.340;15.387;15.458;15.516;15.601;15.647;15.707;15.764;15.816;15.900;15.918;15.901;15.943
;2_Patronos;0_Menor a 15 años;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
