;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CUADRO N° 22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CARACTERÍSTICAS SOCIO-DEMOGRÁFICAS - SECTOR PRIVADO - POR GRUPO DE EDAD - 18 A 29 AÑOS, 2009 - 2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Desagregaciones;ene.-09;feb.-09;mar.-09;abr.-09;may.-09;jun.-09;jul.-09;ago.-09;sep.-09;oct.-09;nov.-09;dic.-09;ene.-10;feb.-10;mar.-10;abr.-10;may.-10;jun.-10;jul.-10;ago.-10;sep.-10;oct.-10;nov.-10;dic.-10;ene.-11;feb.-11;mar.-11;abr.-11;may.-11;jun.-11;jul.-11;ago.-11;sep.-11;oct.-11;nov.-11;dic.-11;ene.-12;feb.-12;mar.-12;abr.-12;may.-12;jun.-12;jul.-12;ago.-12;sep.-12;oct.-12;nov.-12;dic.-12;ene.-13;feb.-13;mar.-13;abr.-13;may.-13;jun.-13;jul.-13;ago.-13;sep.-13;oct.-13;nov.-13;dic.-13;ene.-14;feb.-14;mar.-14;abr.-14;may.-14;jun.-14;jul.-14;ago.-14;sep.-14;oct.-14;nov.-14;dic.-14;ene.-15;feb.-15;mar.-15;abr.-15;may.-15;jun.-15;jul.-15;ago.-15;sep.-15;oct.-15;nov.-15;dic.-15;ene.-16;feb.-16;mar.-16;abr.-16;may.-16;jun.-16;jul.-16;ago.-16;sep.-16;oct.-16;nov.-16;dic.-16;ene.-17;feb.-17;mar.-17;abr.-17;may.-17;jun.-17;jul.-17;ago.-17;sep.-17;oct.-17;nov.-17;dic.-17;ene.-18;feb.-18;mar.-18;abr.-18;may.-18;jun.-18;jul.-18;ago.-18;sep.-18;oct.-18;nov.-18;dic.-18;ene.-19;feb.-19;mar.-19;abr.-19;may.-19;jun.-19;jul.-19;ago.-19;sep.-19;oct.-19;nov.-19;dic.-19;ene.-20;feb.-20;mar.-20;abr.-20;may.-20;jun.-20;jul.-20;ago.-20;sep.-20;oct.-20;nov.-20;dic.-20;ene.-21;feb.-21;mar.-21;abr.-21;may.-21;jun.-21;jul.-21;ago.-21;sep.-21;oct.-21;nov.-21;dic.-21;ene.-22;feb.-22;mar.-22;abr.-22;may.-22;jun.-22;jul.-22;ago.-22;sep.-22;oct.-22;nov.-22;dic.-22;ene.-23;feb.-23;mar.-23
;0_Menor a 15 años;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1_Entre 15 y 17 años;2.951;3.049;3.068;3.025;3.011;3.043;3.170;3.247;3.186;3.145;3.046;2.899;3.088;3.133;3.225;3.265;3.319;3.511;3.526;3.564;3.616;3.556;3.427;3.187;3.457;3.538;3.561;3.668;4.178;4.589;4.824;4.878;4.624;4.444;4.245;3.909;4.109;4.087;4.009;3.895;3.864;3.840;3.891;3.801;3.533;3.328;3.120;2.812;2.799;2.819;2.850;2.835;2.645;2.630;2.588;2.500;2.356;2.306;2.179;1.945;1.965;1.956;1.948;2.079;2.018;1.937;1.929;1.970;1.933;1.819;1.714;1.563;1.482;1.448;1.423;1.447;1.381;1.342;1.294;1.285;1.181;1.058;934;839;779;786;762;782;757;711;699;662;674;629;581;538;526;476;547;563;556;534;534;574;556;523;478;454;461;457;495;511;515;503;512;527;497;498;491;434;426;439;464;483;459;429;449;435;417;372;344;333;319;324;306;260;243;230;243;256;254;260;258;237;242;249;247;260;275;280;306;313;290;286;282;255;250;264;268;277;298;276;292;320;308;296;290;270;262;263;272
;2_Entre 18 y 29 años;489.577;484.606;485.689;487.141;486.241;488.188;492.988;497.216;506.114;509.683;513.525;511.313;512.015;507.623;515.178;521.603;526.739;534.720;539.829;545.880;555.231;563.027;569.392;569.180;571.235;574.158;583.655;596.100;615.966;631.750;643.256;655.094;663.662;670.582;677.308;675.133;677.002;672.846;677.348;683.261;688.846;692.053;698.332;702.365;707.410;715.578;721.913;716.102;719.498;713.437;717.429;723.160;725.464;725.442;728.768;731.044;736.078;741.965;747.797;741.278;742.982;738.313;736.349;739.887;742.193;740.460;741.839;751.015;759.151;765.910;767.608;760.169;753.485;743.881;743.780;742.150;741.224;739.142;734.958;729.620;727.632;721.372;712.022;697.625;679.662;666.799;658.501;653.116;647.689;641.759;636.997;636.628;638.413;639.402;638.213;631.192;628.630;622.691;626.472;625.466;625.730;623.756;622.599;624.143;627.180;629.701;632.021;628.221;629.138;625.510;627.919;632.271;632.789;632.731;634.343;637.662;639.996;643.405;645.567;638.339;634.992;629.084;627.145;632.620;631.150;627.968;630.620;630.232;632.416;627.992;631.138;624.618;624.423;619.004;607.764;558.959;524.884;511.666;508.389;507.218;512.355;520.828;527.407;526.262;527.201;527.042;531.397;534.883;537.671;542.020;545.062;549.596;557.785;564.300;569.580;568.367;570.655;569.372;574.063;578.479;584.035;584.109;586.029;590.713;596.847;602.509;605.973;601.065;598.820;591.916;594.364
;3_Entre 30 y 44 años;511.896;511.633;515.520;519.963;522.868;528.023;533.014;538.412;546.249;551.434;556.066;557.018;562.541;560.040;567.432;574.373;581.690;590.663;596.562;603.369;613.315;622.016;628.705;632.131;639.355;645.778;655.500;666.620;684.976;701.213;713.677;725.081;735.975;744.946;753.286;756.120;764.741;766.229;773.904;781.261;790.841;797.814;805.887;812.536;820.239;829.678;836.751;837.128;846.240;846.015;851.991;858.178;863.757;868.701;875.038;879.324;885.024;891.118;895.433;893.949;899.521;898.964;898.190;900.564;903.924;906.264;909.455;916.713;924.431;930.383;932.574;930.080;930.800;927.444;930.114;927.763;929.302;930.658;931.485;930.410;931.917;929.000;923.892;914.361;907.050;899.304;894.696;890.055;887.110;885.462;883.792;884.264;885.937;888.103;886.799;883.574;883.556;879.718;882.575;881.161;882.733;883.242;885.711;887.406;890.397;893.725;895.546;893.580;896.634;895.337;898.240;902.526;905.662;907.724;910.409;914.021;917.827;922.250;923.860;920.601;920.954;917.590;917.875;922.137;923.046;923.560;926.419;926.782;929.824;928.429;929.007;925.179;927.324;923.514;917.412;882.346;852.600;840.821;836.817;833.318;836.229;841.263;844.603;843.516;843.993;845.691;850.671;852.499;857.561;862.396;865.748;869.370;875.359;880.429;882.702;881.903;884.615;886.216;890.818;893.097;898.940;900.953;904.707;910.205;914.829;918.910;920.267;916.672;915.243;911.003;914.165
;4_Entre 45 y 64 años;239.407;240.820;243.625;245.954;248.248;251.689;253.997;257.036;261.204;264.360;267.073;268.605;272.273;271.690;276.239;280.372;285.407;291.874;296.678;301.567;307.639;313.449;318.644;322.357;328.739;333.255;339.644;345.121;355.255;365.620;374.234;382.011;389.370;396.121;402.301;406.351;413.514;417.281;423.118;428.550;435.899;441.989;448.866;454.907;460.752;467.583;473.078;475.768;482.241;484.663;489.369;493.683;498.118;503.032;508.878;513.678;518.401;523.279;526.923;528.075;532.398;533.306;534.128;535.290;537.400;539.717;542.370;546.575;550.768;553.772;555.748;555.590;556.238;555.327;556.948;556.620;557.512;559.258;560.947;561.475;562.948;562.525;561.264;558.092;555.485;551.930;550.271;548.308;547.828;548.113;548.533;549.467;551.027;552.529;552.742;551.995;551.424;550.525;552.049;551.112;552.195;553.217;556.589;558.812;561.129;563.529;564.817;564.925;566.177;565.533;567.177;568.599;570.698;573.000;575.517;577.994;580.052;582.542;583.710;583.039;583.475;582.308;583.136;584.849;585.639;587.041;588.730;589.248;590.915;591.096;591.353;590.137;590.483;588.700;587.103;572.672;558.873;552.607;549.374;547.144;547.440;548.976;549.961;549.844;549.261;549.881;552.668;553.293;555.705;558.928;561.379;563.838;566.974;569.637;571.335;571.957;572.792;573.500;575.888;577.121;580.563;583.187;586.465;590.125;592.973;595.811;597.484;596.899;596.338;595.489;598.100
;5_65 años y más;15.835;15.859;15.990;16.099;16.183;16.413;16.644;16.878;17.198;17.409;17.631;17.722;17.913;17.893;18.174;18.418;18.776;19.301;19.693;20.014;20.507;20.987;21.388;21.654;22.192;22.499;23.025;23.396;24.065;24.808;25.584;26.245;26.838;27.503;28.164;28.663;29.307;29.635;30.217;30.703;31.506;32.052;32.750;33.406;33.927;34.747;35.332;35.794;36.502;36.845;37.311;37.797;38.247;38.742;39.280;39.857;40.424;40.887;41.429;41.781;42.048;42.096;42.422;42.481;42.704;42.980;43.253;43.629;44.102;44.390;44.638;44.763;44.917;44.909;45.111;45.026;45.162;45.410;45.684;45.813;46.076;46.331;46.428;46.421;46.268;46.009;45.948;45.718;45.733;45.851;46.010;46.279;46.420;46.623;46.753;46.954;46.879;46.737;46.987;47.015;47.227;47.320;47.936;48.245;48.561;48.869;49.142;49.523;49.684;49.557;49.980;50.188;50.498;50.861;51.306;51.615;51.879;52.267;52.520;52.750;52.727;52.582;52.715;52.818;52.904;53.046;53.206;53.403;53.602;53.822;54.105;54.256;54.259;54.209;54.425;54.135;53.496;52.670;52.181;51.972;51.920;51.860;51.933;52.122;51.789;51.519;51.539;51.355;51.409;51.420;51.535;51.672;51.677;51.800;52.024;52.321;52.119;51.844;51.775;51.514;51.651;51.745;51.825;52.084;52.215;52.345;52.399;52.506;52.089;51.772;51.781
;Total Empleo registrado;1.259.666;1.255.967;1.263.892;1.272.182;1.276.551;1.287.356;1.299.813;1.312.789;1.333.951;1.346.031;1.357.341;1.357.557;1.367.830;1.360.379;1.380.248;1.398.031;1.415.931;1.440.069;1.456.288;1.474.394;1.500.308;1.523.035;1.541.556;1.548.509;1.564.978;1.579.228;1.605.385;1.634.905;1.684.440;1.727.980;1.761.575;1.793.309;1.820.469;1.843.596;1.865.304;1.870.176;1.888.673;1.890.078;1.908.596;1.927.670;1.950.956;1.967.748;1.989.726;2.007.015;2.025.861;2.050.914;2.070.194;2.067.604;2.087.280;2.083.779;2.098.950;2.115.653;2.128.231;2.138.547;2.154.552;2.166.403;2.182.283;2.199.555;2.213.761;2.207.028;2.218.914;2.214.635;2.213.037;2.220.301;2.228.239;2.231.358;2.238.846;2.259.902;2.280.385;2.296.274;2.302.282;2.292.165;2.286.922;2.273.009;2.277.376;2.273.006;2.274.581;2.275.810;2.274.368;2.268.603;2.269.754;2.260.286;2.244.540;2.217.338;2.189.244;2.164.828;2.150.178;2.137.979;2.129.117;2.121.896;2.116.031;2.117.300;2.122.471;2.127.286;2.125.088;2.114.253;2.111.015;2.100.147;2.108.630;2.105.317;2.108.441;2.108.069;2.113.369;2.119.180;2.127.823;2.136.347;2.142.004;2.136.703;2.142.094;2.136.394;2.143.811;2.154.095;2.160.162;2.164.819;2.172.087;2.181.819;2.190.251;2.200.962;2.206.148;2.195.163;2.192.574;2.182.003;2.181.335;2.192.907;2.193.198;2.192.044;2.199.424;2.200.100;2.207.174;2.201.711;2.205.947;2.194.523;2.196.808;2.185.751;2.167.010;2.068.372;1.990.096;1.957.994;1.947.004;1.939.908;1.948.198;1.963.187;1.974.162;1.971.981;1.972.486;1.974.382;1.986.522;1.992.290;2.002.621;2.015.044;2.024.030;2.034.789;2.052.085;2.066.452;2.075.923;2.074.803;2.080.431;2.081.196;2.092.812;2.100.488;2.115.487;2.120.270;2.129.318;2.143.447;2.157.172;2.169.871;2.176.413;2.167.412;2.162.752;2.150.443;2.158.682
