;Desagregaciones;edadcj;ene.-09;feb.-09;mar.-09;abr.-09;may.-09;jun.-09;jul.-09;ago.-09;sep.-09;oct.-09;nov.-09;dic.-09;ene.-10;feb.-10;mar.-10;abr.-10;may.-10;jun.-10;jul.-10;ago.-10;sep.-10;oct.-10;nov.-10;dic.-10;ene.-11;feb.-11;mar.-11;abr.-11;may.-11;jun.-11;jul.-11;ago.-11;sep.-11;oct.-11;nov.-11;dic.-11;ene.-12;feb.-12;mar.-12;abr.-12;may.-12;jun.-12;jul.-12;ago.-12;sep.-12;oct.-12;nov.-12;dic.-12;ene.-13;feb.-13;mar.-13;abr.-13;may.-13;jun.-13;jul.-13;ago.-13;sep.-13;oct.-13;nov.-13;dic.-13;ene.-14;feb.-14;mar.-14;abr.-14;may.-14;jun.-14;jul.-14;ago.-14;sep.-14;oct.-14;nov.-14;dic.-14;ene.-15;feb.-15;mar.-15;abr.-15;may.-15;jun.-15;jul.-15;ago.-15;sep.-15;oct.-15;nov.-15;dic.-15;ene.-16;feb.-16;mar.-16;abr.-16;may.-16;jun.-16;jul.-16;ago.-16;sep.-16;oct.-16;nov.-16;dic.-16;ene.-17;feb.-17;mar.-17;abr.-17;may.-17;jun.-17;jul.-17;ago.-17;sep.-17;oct.-17;nov.-17;dic.-17;ene.-18;feb.-18;mar.-18;abr.-18;may.-18;jun.-18;jul.-18;ago.-18;sep.-18;oct.-18;nov.-18;dic.-18;ene.-19;feb.-19;mar.-19;abr.-19;may.-19;jun.-19;jul.-19;ago.-19;sep.-19;oct.-19;nov.-19;dic.-19;ene.-20;feb.-20;mar.-20;abr.-20;may.-20;jun.-20;jul.-20;ago.-20;sep.-20;oct.-20;nov.-20;dic.-20;ene.-21;feb.-21;mar.-21;abr.-21;may.-21;jun.-21;jul.-21;ago.-21;sep.-21;oct.-21;nov.-21;dic.-21;ene.-22;feb.-22;mar.-22;abr.-22;may.-22;jun.-22;jul.-22;ago.-22;sep.-22;oct.-22;nov.-22;dic.-22;ene.-23;feb.-23;mar.-23
;2_Patronos;1_Entre 15 y 17 años;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;2;3;3;4;4;3;3;3;2;2;2;2;2;2;2;3;3;2;2;2;2;2;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2_Patronos;2_Entre 18 y 29 años;1.059;1.094;1.109;1.125;1.151;1.192;1.245;1.287;1.326;1.328;1.337;1.340;1.412;1.417;1.503;1.625;1.734;1.884;2.009;2.102;2.289;2.435;2.580;2.654;2.855;3.019;3.178;3.356;3.669;3.993;4.137;4.327;4.460;4.569;4.653;4.726;4.994;5.056;5.183;5.286;5.505;5.703;5.824;5.971;6.120;6.217;6.278;6.228;6.390;6.417;6.441;6.536;6.607;6.672;6.668;6.726;6.795;6.860;6.884;6.790;6.902;6.854;6.790;6.771;6.738;6.693;6.634;6.739;6.708;6.692;6.640;6.513;6.538;6.454;6.378;6.320;6.309;6.284;6.198;6.164;6.103;6.021;5.906;5.772;5.753;5.605;5.501;5.406;5.328;5.211;5.137;5.058;5.001;4.916;4.889;4.816;4.803;4.750;4.696;4.632;4.634;4.639;4.627;4.620;4.650;4.650;4.622;4.573;4.696;4.677;4.675;4.670;4.642;4.655;4.614;4.585;4.573;4.592;4.550;4.460;4.465;4.506;4.507;4.532;4.489;4.430;4.413;4.373;4.379;4.364;4.306;4.242;4.266;4.241;4.152;3.898;3.624;3.497;3.425;3.351;3.351;3.313;3.299;3.248;3.233;3.230;3.241;3.194;3.194;3.182;3.147;3.139;3.175;3.169;3.139;3.051;3.017;3.003;2.983;2.985;2.982;2.933;2.918;2.919;2.915;2.889;2.837;2.798;2.752;2.690;2.668
;2_Patronos;3_Entre 30 y 44 años;8.490;8.660;8.857;8.977;9.152;9.344;9.611;9.804;10.097;10.411;10.605;10.759;11.308;11.530;11.955;12.415;12.950;13.726;14.241;14.846;15.597;16.305;16.894;17.292;18.458;19.258;19.977;20.839;22.388;23.865;24.975;25.981;26.832;27.625;28.235;28.565;29.748;30.345;31.069;31.597;32.413;33.144;33.746;34.391;35.038;35.584;35.945;35.987;36.977;37.094;37.547;38.040;38.400;38.848;39.067;39.234;39.493;39.708;39.944;39.765;40.361;40.436;40.490;40.417;40.371;40.393;40.264;40.447;40.722;40.858;40.846;40.589;40.772;40.604;40.743;40.534;40.469;40.425;40.233;40.094;39.954;39.561;39.312;38.822;38.865;38.504;38.127;37.610;37.210;36.806;36.386;36.122;35.947;35.713;35.464;35.173;35.204;34.973;34.883;34.740;34.661;34.499;34.454;34.437;34.415;34.184;34.097;33.904;34.138;33.966;34.059;34.091;33.993;33.850;33.675;33.639;33.741;33.689;33.577;33.217;33.311;33.110;33.113;32.972;32.650;32.561;32.443;32.232;32.148;31.909;31.680;31.421;31.474;31.313;30.987;29.795;28.481;27.777;27.124;26.644;26.427;26.289;26.076;25.850;25.724;25.679;25.700;25.551;25.465;25.414;25.290;25.281;25.266;25.275;25.120;24.954;25.051;24.929;24.890;24.721;24.647;24.461;24.337;24.237;24.170;24.070;23.899;23.706;23.692;23.582;23.544
;2_Patronos;4_Entre 45 y 64 años;11.571;11.754;11.946;12.232;12.476;12.691;13.017;13.339;13.751;14.148;14.411;14.711;15.391;15.716;16.211;16.748;17.363;18.205;18.952;19.604;20.451;21.318;22.088;22.719;23.979;24.900;25.847;26.861;28.307;29.921;31.277;32.438;33.491;34.452;35.294;35.980;37.277;38.000;38.867;39.627;40.645;41.652;42.639;43.548;44.513;45.349;46.059;46.415;47.440;47.901;48.550;49.158;49.679;50.318;50.827;51.326;51.878;52.467;52.866;53.048;53.805;53.971;54.067;54.176;54.318;54.348;54.386;54.837;55.169;55.421;55.643;55.663;55.831;55.833;55.916;55.868;55.800;55.957;55.977;55.971;56.040;56.018;55.933;55.743;55.799;55.552;55.346;55.082;54.891;54.685;54.476;54.416;54.484;54.419;54.338;54.175;54.262;54.192;54.158;54.056;54.107;54.158;54.327;54.377;54.536;54.626;54.583;54.476;54.621;54.460;54.504;54.415;54.400;54.391;54.409;54.421;54.488;54.554;54.464;54.233;54.438;54.310;54.358;54.327;54.226;54.068;54.019;53.962;54.045;53.863;53.710;53.411;53.394;53.185;52.927;51.963;50.493;49.444;48.606;47.922;47.596;47.369;47.200;46.924;46.747;46.650;46.587;46.444;46.388;46.363;46.198;46.171;46.234;46.238;46.158;46.028;46.059;45.854;45.823;45.656;45.636;45.603;45.602;45.677;45.647;45.610;45.465;45.264;45.201;44.986;45.073
;2_Patronos;5_65 años y más;842;859;870;872;886;907;933;946;982;1.024;1.042;1.053;1.104;1.119;1.154;1.185;1.220;1.275;1.316;1.357;1.454;1.501;1.552;1.615;1.716;1.790;1.883;1.968;2.104;2.231;2.342;2.441;2.509;2.594;2.687;2.767;2.882;2.931;2.984;3.097;3.206;3.295;3.389;3.488;3.595;3.658;3.750;3.828;3.967;4.009;4.080;4.185;4.246;4.291;4.403;4.473;4.542;4.595;4.693;4.744;4.786;4.818;4.885;4.931;4.976;5.033;5.065;5.172;5.267;5.318;5.386;5.420;5.481;5.472;5.506;5.507;5.555;5.574;5.574;5.603;5.652;5.680;5.728;5.728;5.739;5.719;5.705;5.723;5.706;5.707;5.709;5.733;5.766;5.759;5.761;5.786;5.799;5.797;5.822;5.825;5.905;5.909;5.984;6.046;6.083;6.104;6.116;6.153;6.203;6.219;6.257;6.277;6.300;6.347;6.358;6.421;6.467;6.476;6.512;6.545;6.564;6.570;6.610;6.631;6.630;6.658;6.675;6.651;6.664;6.650;6.653;6.723;6.676;6.704;6.727;6.672;6.579;6.414;6.271;6.187;6.151;6.091;6.036;6.040;6.023;5.960;5.910;5.853;5.828;5.747;5.723;5.670;5.665;5.658;5.663;5.678;5.649;5.583;5.539;5.509;5.451;5.430;5.433;5.409;5.341;5.321;5.331;5.335;5.224;5.161;5.116
;3_Asalariados;0_Menor a 15 años;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;3_Asalariados;1_Entre 15 y 17 años;3.074;3.178;3.204;3.175;3.146;3.170;3.303;3.384;3.350;3.325;3.208;3.052;3.252;3.301;3.395;3.437;3.518;3.784;3.822;3.872;3.909;3.842;3.703;3.441;3.701;3.784;3.801;3.912;4.430;4.855;5.103;5.155;4.912;4.727;4.514;4.169;4.378;4.342;4.271;4.160;4.111;4.073;4.113;4.009;3.721;3.508;3.281;2.966;2.962;2.979;3.010;2.990;2.786;2.771;2.725;2.630;2.482;2.419;2.284;2.047;2.074;2.059;2.062;2.189;2.125;2.043;2.019;2.064;2.033;1.917;1.809;1.654;1.574;1.537;1.511;1.534;1.461;1.411;1.359;1.353;1.239;1.112;984;888;820;832;802;820;792;751;735;696;710;663;609;562;553;501;574;585;578;551;553;591;574;544;498;475;485;484;520;534;534;519;524;537;506;508;500;443;441;459;479;494;471;444;466;449;432;384;356;344;331;337;316;268;249;236;246;258;255;261;259;236;242;249;248;264;278;283;311;322;299;293;286;258;251;267;270;278;300;279;295;322;310;298;293;272;265;266;275
;3_Asalariados;2_Entre 18 y 29 años;544.844;541.758;543.799;548.977;549.711;552.802;555.506;558.492;574.112;580.868;585.440;583.403;579.555;580.115;589.784;597.649;604.519;615.308;621.328;628.190;638.958;648.424;655.571;655.434;651.925;658.158;668.652;682.456;703.069;718.852;730.082;740.929;751.155;759.471;768.802;767.474;764.920;767.488;778.183;786.687;790.288;795.053;802.103;806.121;811.716;821.474;829.974;824.031;824.533;827.668;830.599;837.053;840.443;841.742;844.906;847.191;852.604;859.598;867.041;860.172;855.524;855.379;855.961;861.422;863.749;863.953;866.693;875.809;886.906;896.513;899.843;890.480;881.820;873.854;874.737;873.565;874.486;873.220;869.761;862.791;860.578;853.954;843.547;827.290;801.829;788.966;782.017;776.156;771.306;764.523;762.216;761.395;761.305;763.661;763.168;755.838;750.681;746.836;750.720;749.628;751.508;748.336;743.113;748.410;750.179;753.311;756.034;752.084;749.596;746.458;749.194;753.307;755.200;755.260;756.461;756.829;757.162;761.557;763.337;754.824;747.767;742.430;738.480;740.766;738.584;732.863;734.252;729.278;735.275;730.643;733.856;725.801;720.448;715.359;703.027;653.221;616.656;601.850;596.621;594.388;598.798;605.862;611.211;609.436;606.724;606.331;609.473;612.377;615.188;619.170;620.998;624.220;631.750;636.913;641.360;639.539;638.061;638.316;643.817;647.631;652.496;652.273;653.894;658.908;666.166;671.427;674.889;672.086;667.246;661.332;662.971
;3_Asalariados;3_Entre 30 y 44 años;653.092;652.527;656.287;666.540;672.138;678.696;681.908;685.824;701.109;709.099;714.788;716.015;716.378;720.073;729.168;737.519;746.746;758.678;765.797;773.329;783.724;793.652;801.313;804.388;804.874;814.006;823.707;837.424;855.901;870.850;882.462;891.878;903.552;913.633;922.761;925.963;927.890;932.453;942.269;951.273;960.158;967.581;975.477;981.309;988.535;998.762;1.007.249;1.007.854;1.012.242;1.018.116;1.023.916;1.031.425;1.038.981;1.044.677;1.050.791;1.055.144;1.061.187;1.068.705;1.075.711;1.074.261;1.071.704;1.075.695;1.077.212;1.082.368;1.087.647;1.093.339;1.098.808;1.106.868;1.119.053;1.129.450;1.135.547;1.133.902;1.131.007;1.130.805;1.135.375;1.134.563;1.138.830;1.142.195;1.144.882;1.144.141;1.146.909;1.146.047;1.141.877;1.132.412;1.117.437;1.111.283;1.108.448;1.105.247;1.104.102;1.104.823;1.105.132;1.107.367;1.109.643;1.115.863;1.117.528;1.116.216;1.113.217;1.112.220;1.117.264;1.117.477;1.121.302;1.122.664;1.124.718;1.128.040;1.130.721;1.137.035;1.140.971;1.140.752;1.140.899;1.141.327;1.145.134;1.151.067;1.157.242;1.161.391;1.165.384;1.168.457;1.172.031;1.179.031;1.181.690;1.179.381;1.174.809;1.172.845;1.171.968;1.175.351;1.178.319;1.176.107;1.179.137;1.178.530;1.182.859;1.183.764;1.186.004;1.182.305;1.178.550;1.175.829;1.169.587;1.134.517;1.103.137;1.090.056;1.084.350;1.080.458;1.081.775;1.085.890;1.090.282;1.089.936;1.086.098;1.089.092;1.094.367;1.096.418;1.102.134;1.107.257;1.110.337;1.113.504;1.119.204;1.123.788;1.126.817;1.127.544;1.123.494;1.128.588;1.134.514;1.136.997;1.144.082;1.148.265;1.152.628;1.158.799;1.163.581;1.168.380;1.171.999;1.170.230;1.165.112;1.162.590;1.165.008
;3_Asalariados;4_Entre 45 y 64 años;415.732;417.256;419.933;424.221;427.658;431.813;434.779;437.399;443.417;445.038;447.914;449.325;450.541;453.515;458.393;462.389;468.016;475.258;480.242;485.048;491.121;495.800;500.481;503.446;505.990;510.529;516.018;522.356;531.348;539.486;546.613;553.135;559.843;566.270;570.045;573.119;576.148;577.459;582.444;587.248;592.813;597.726;603.073;607.723;611.744;617.727;622.797;624.912;628.871;631.802;635.458;639.633;644.650;649.061;653.734;657.352;661.405;664.737;664.747;663.788;664.421;666.493;667.019;668.832;671.731;674.649;678.420;683.156;686.766;690.722;693.431;692.640;692.183;692.506;694.762;694.296;696.044;698.506;700.570;701.347;703.416;703.652;702.054;698.173;691.787;688.774;687.411;685.507;685.591;686.193;685.190;684.423;686.110;688.791;688.480;688.212;686.553;686.563;689.000;687.325;689.306;690.493;693.183;695.454;697.232;700.488;702.313;703.313;703.415;703.126;705.034;706.856;709.437;711.900;714.911;717.423;718.944;722.147;723.679;723.402;721.082;720.309;720.226;720.537;722.860;721.863;723.820;724.066;725.134;724.587;725.138;724.050;722.212;720.896;718.765;703.222;688.134;680.659;676.537;673.628;671.858;671.053;672.256;671.535;668.403;668.956;671.755;671.845;674.490;677.902;680.945;683.645;686.599;689.034;691.375;692.978;691.843;693.965;696.364;696.908;701.219;705.041;708.644;712.970;715.818;718.707;721.720;722.068;720.809;721.601;723.584
