;Desagregaciones;edadcj;ene.-09;feb.-09;mar.-09;abr.-09;may.-09;jun.-09;jul.-09;ago.-09;sep.-09;oct.-09;nov.-09;dic.-09;ene.-10;feb.-10;mar.-10;abr.-10;may.-10;jun.-10;jul.-10;ago.-10;sep.-10;oct.-10;nov.-10;dic.-10;ene.-11;feb.-11;mar.-11;abr.-11;may.-11;jun.-11;jul.-11;ago.-11;sep.-11;oct.-11;nov.-11;dic.-11;ene.-12;feb.-12;mar.-12;abr.-12;may.-12;jun.-12;jul.-12;ago.-12;sep.-12;oct.-12;nov.-12;dic.-12;ene.-13;feb.-13;mar.-13;abr.-13;may.-13;jun.-13;jul.-13;ago.-13;sep.-13;oct.-13;nov.-13;dic.-13;ene.-14;feb.-14;mar.-14;abr.-14;may.-14;jun.-14;jul.-14;ago.-14;sep.-14;oct.-14;nov.-14;dic.-14;ene.-15;feb.-15;mar.-15;abr.-15;may.-15;jun.-15;jul.-15;ago.-15;sep.-15;oct.-15;nov.-15;dic.-15;ene.-16;feb.-16;mar.-16;abr.-16;may.-16;jun.-16;jul.-16;ago.-16;sep.-16;oct.-16;nov.-16;dic.-16;ene.-17;feb.-17;mar.-17;abr.-17;may.-17;jun.-17;jul.-17;ago.-17;sep.-17;oct.-17;nov.-17;dic.-17;ene.-18;feb.-18;mar.-18;abr.-18;may.-18;jun.-18;jul.-18;ago.-18;sep.-18;oct.-18;nov.-18;dic.-18;ene.-19;feb.-19;mar.-19;abr.-19;may.-19;jun.-19;jul.-19;ago.-19;sep.-19;oct.-19;nov.-19;dic.-19;ene.-20;feb.-20;mar.-20;abr.-20;may.-20;jun.-20;jul.-20;ago.-20;sep.-20;oct.-20;nov.-20;dic.-20;ene.-21;feb.-21;mar.-21;abr.-21;may.-21;jun.-21;jul.-21;ago.-21;sep.-21;oct.-21;nov.-21;dic.-21;ene.-22;feb.-22;mar.-22;abr.-22;may.-22;jun.-22;jul.-22;ago.-22;sep.-22;oct.-22;nov.-22;dic.-22;ene.-23;feb.-23;mar.-23
;3_Asalariados;5_65 años y más;33.087;33.195;33.461;33.734;33.927;34.294;34.615;34.935;35.343;33.623;33.933;34.091;34.074;34.172;34.522;34.640;35.089;35.695;36.201;36.666;37.224;37.316;36.547;36.591;36.525;36.755;37.182;37.528;38.047;38.683;39.457;40.056;39.924;40.420;40.519;40.971;41.233;40.275;40.811;41.216;41.772;42.224;42.917;43.497;43.946;44.577;45.138;45.549;45.926;46.013;46.219;46.521;46.934;47.217;47.573;47.054;47.159;47.212;47.220;47.363;47.480;47.530;47.788;47.856;48.013;48.257;48.633;48.652;48.163;48.248;48.357;48.102;48.035;48.116;48.389;48.106;48.237;48.561;48.780;49.076;49.394;49.665;49.703;49.710;49.138;48.945;48.894;48.606;48.591;47.879;47.285;47.064;47.087;47.274;46.893;46.953;46.694;46.564;46.846;46.561;46.796;46.733;47.132;47.357;47.458;47.742;47.917;48.180;48.115;47.775;47.989;47.948;48.203;48.545;48.932;49.175;49.352;49.649;49.768;49.861;49.584;49.386;49.444;49.263;49.492;49.260;49.529;49.641;49.592;49.516;49.678;49.720;49.396;49.224;49.295;48.779;48.087;47.231;46.584;46.244;46.062;45.761;45.770;45.786;45.156;44.809;44.969;44.601;44.720;44.653;44.756;44.938;45.007;45.116;45.309;45.601;45.388;45.178;45.093;44.564;44.691;44.842;44.919;45.282;45.477;45.614;45.726;45.820;45.451;45.215;45.220
;Z2_Campesino;0_Menor a 15 años;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Z2_Campesino;1_Entre 15 y 17 años;12;12;9;11;10;14;11;9;10;8;7;8;5;5;6;7;8;33;34;35;34;39;37;36;38;40;42;46;48;55;55;56;57;55;60;63;58;55;59;70;74;74;86;92;103;116;118;110;105;108;107;97;101;98;93;86;82;82;85;85;85;99;105;100;101;95;93;94;90;92;87;86;80;84;86;83;89;94;93;88;82;80;80;77;77;81;78;74;67;66;67;61;66;67;75;69;76;76;77;80;81;84;73;69;58;56;52;48;52;51;48;47;42;35;31;32;32;34;39;35;33;33;28;22;26;29;24;25;22;24;22;21;19;18;17;15;17;15;15;15;16;15;16;18;17;13;13;15;19;23;24;23;25;22;22;20;20;18;17;18;16;16;15;9;9;7;14;15;15;16;17
;Z2_Campesino;2_Entre 18 y 29 años;4.388;4.451;4.472;4.429;4.475;4.522;4.642;4.630;4.610;4.632;4.801;5.054;5.027;4.952;5.014;5.570;7.726;14.189;15.008;15.326;15.258;15.428;15.740;16.143;16.395;16.644;16.684;16.955;17.195;17.392;17.602;17.895;18.317;18.805;19.361;19.940;20.234;20.549;21.295;21.963;22.749;23.500;24.266;25.189;25.995;26.933;27.370;27.634;28.024;28.210;28.496;28.862;29.102;29.254;29.389;29.121;29.059;29.006;29.058;29.052;28.868;29.138;29.204;29.373;29.402;29.449;29.521;29.554;29.537;29.491;29.610;29.571;29.318;29.228;29.285;29.493;29.597;30.069;30.109;30.257;30.414;30.644;30.751;30.946;30.655;30.691;30.585;30.496;29.993;29.761;29.716;29.686;29.548;29.593;29.648;29.745;29.477;29.413;29.454;29.446;29.435;29.498;29.173;28.661;28.307;28.140;27.755;27.563;27.046;26.612;26.101;25.697;25.283;24.949;24.912;25.200;25.335;25.358;25.964;26.570;26.540;26.780;26.535;26.188;26.121;25.773;25.816;25.838;26.008;26.043;26.087;26.051;25.800;25.600;25.330;25.205;24.858;24.567;24.225;24.004;23.830;23.630;23.628;23.659;23.472;23.292;23.241;23.229;23.251;23.185;23.151;23.208;23.242;23.226;23.234;23.328;23.226;23.180;23.105;23.056;22.907;22.808;22.614;22.637;22.471;22.345;22.335;22.283;22.061;21.992;21.897
;Z2_Campesino;3_Entre 30 y 44 años;17.064;17.236;17.336;17.378;17.442;17.500;17.886;17.976;18.090;18.131;18.585;19.225;19.254;19.240;19.311;21.317;29.155;53.611;56.649;57.538;57.607;58.016;58.551;59.355;59.968;60.601;60.794;61.411;61.943;62.521;62.924;63.821;64.818;65.913;67.106;68.194;69.066;69.966;71.799;73.369;75.250;76.899;78.858;80.957;82.809;84.486;85.710;86.575;87.959;88.809;89.828;90.907;91.456;91.821;92.328;92.293;92.378;92.583;92.975;93.321;93.369;94.173;94.573;95.362;95.942;96.081;96.364;96.519;96.805;96.989;97.338;97.420;97.614;97.701;98.001;98.546;98.781;99.740;100.126;100.365;100.893;101.449;101.734;102.586;102.318;102.714;102.705;102.651;101.994;101.591;101.217;101.033;100.886;100.808;100.827;100.954;100.857;100.818;100.813;100.704;100.755;100.507;99.857;99.243;98.820;98.425;98.002;97.609;96.989;96.282;95.569;94.883;94.154;93.632;93.425;93.995;94.100;94.104;94.816;95.585;95.522;95.598;95.219;94.741;94.378;93.833;93.646;93.476;93.628;93.454;93.230;93.045;92.952;92.709;92.349;92.235;91.881;91.218;90.365;90.448;90.028;89.576;89.189;89.293;88.849;88.601;88.312;88.194;88.016;87.774;87.504;87.388;87.226;87.019;86.692;86.531;86.172;85.948;85.577;85.399;85.058;84.738;84.280;84.095;83.491;83.140;83.026;82.678;82.307;82.248;81.805
;Z2_Campesino;4_Entre 45 y 64 años;26.902;27.141;27.298;27.362;27.537;27.602;28.092;28.263;28.530;28.745;29.380;30.268;30.409;30.415;30.654;33.614;45.669;82.888;87.370;88.524;89.168;90.073;90.958;92.116;92.872;93.906;94.623;95.549;96.791;97.883;98.689;99.912;101.253;102.841;104.802;106.414;107.476;108.664;110.613;112.369;114.595;116.529;118.993;121.410;123.425;125.049;126.761;128.099;130.077;131.515;133.118;134.473;135.823;136.906;137.901;138.272;138.830;139.638;140.556;141.279;142.008;143.401;144.375;145.758;146.513;147.099;148.096;148.817;149.644;150.303;150.951;151.390;152.025;152.496;153.054;153.892;154.520;155.992;157.019;157.672;158.473;159.313;159.987;161.062;161.237;161.717;162.232;162.496;162.306;162.437;162.490;162.590;162.977;163.227;163.600;164.018;164.321;164.614;164.972;165.230;165.697;165.853;165.702;165.492;165.524;165.634;165.550;165.639;165.377;165.031;164.563;164.157;163.803;163.814;164.207;165.230;165.782;166.371;167.636;168.946;169.406;170.011;170.105;169.979;170.257;170.007;170.521;170.810;171.524;171.812;172.048;172.255;172.286;172.431;172.403;172.417;172.186;171.677;170.784;171.528;171.439;171.369;171.164;171.742;171.642;171.720;171.907;172.237;172.564;172.757;173.049;173.308;173.679;173.692;173.608;173.686;173.835;173.955;174.047;174.171;174.343;174.505;174.544;174.824;174.624;174.477;174.635;174.529;174.640;175.243;175.437
;Z2_Campesino;5_65 años y más;17.978;18.028;18.129;18.241;18.359;18.455;18.747;18.945;19.144;19.338;19.708;20.249;20.309;20.357;20.526;22.174;28.848;49.945;52.261;52.997;53.481;54.207;54.821;55.360;55.724;56.030;56.223;56.686;57.309;57.887;58.559;59.302;59.743;60.506;61.526;62.317;62.862;63.218;62.535;63.353;64.457;65.546;66.873;68.070;69.143;70.164;71.090;72.114;73.135;73.845;74.586;75.364;76.162;76.734;77.548;77.768;78.340;79.002;79.487;79.906;80.451;81.066;81.553;82.303;83.013;83.533;84.108;84.763;85.429;86.099;86.571;87.126;87.400;87.744;88.173;88.796;89.329;90.006;90.727;91.335;92.035;92.754;93.380;94.027;94.473;94.893;95.197;95.455;95.749;96.072;96.330;96.708;97.069;97.327;97.553;97.853;97.983;98.149;98.416;98.754;99.034;99.161;99.290;99.317;99.303;99.366;99.462;98.781;98.389;97.813;97.432;97.218;96.691;96.551;96.793;96.983;96.718;96.690;96.593;96.414;96.069;95.633;95.513;95.211;94.941;94.517;94.456;94.621;94.679;94.806;94.958;94.877;94.747;94.236;94.175;94.342;94.383;94.233;93.860;94.056;94.028;93.372;92.884;92.768;92.335;91.837;91.391;91.017;90.676;90.259;90.100;89.935;89.647;89.510;89.242;89.044;88.669;87.899;87.581;87.109;86.494;86.803;85.716;85.367;84.681;84.259;84.068;83.898;82.962;82.409;81.899
;Total Empleo registrado;;1.754.099;1.753.535;1.763.764;1.784.721;1.795.985;1.811.502;1.823.504;1.835.096;1.874.189;1.890.765;1.906.915;1.911.189;1.912.294;1.920.948;1.947.851;1.977.803;2.031.355;2.155.576;2.188.402;2.214.262;2.247.104;2.277.284;2.301.933;2.313.692;2.322.750;2.349.403;2.381.164;2.422.591;2.480.343;2.530.023;2.568.951;2.605.017;2.641.401;2.675.476;2.707.025;2.720.363;2.732.898;2.746.959;2.781.057;2.812.303;2.841.995;2.869.729;2.902.259;2.928.563;2.955.970;2.992.322;3.023.360;3.026.009;3.045.454;3.063.254;3.083.165;3.108.935;3.131.411;3.149.242;3.169.733;3.182.933;3.202.242;3.224.438;3.242.950;3.236.293;3.235.332;3.245.057;3.250.197;3.265.589;3.277.977;3.288.170;3.301.788;3.325.776;3.354.449;3.379.685;3.393.510;3.381.683;3.371.463;3.363.982;3.373.532;3.372.653;3.381.088;3.389.560;3.392.684;3.387.177;3.392.257;3.386.700;3.371.876;3.343.951;3.296.418;3.274.551;3.262.926;3.250.484;3.242.327;3.234.983;3.230.086;3.230.003;3.234.247;3.245.108;3.245.509;3.236.880;3.226.655;3.221.476;3.233.796;3.230.940;3.239.338;3.238.606;3.240.992;3.252.703;3.259.964;3.272.779;3.281.204;3.277.569;3.277.559;3.271.925;3.278.321;3.288.658;3.297.892;3.304.379;3.313.864;3.323.185;3.331.124;3.347.120;3.357.439;3.349.224;3.337.136;3.329.457;3.326.015;3.330.003;3.332.390;3.322.190;3.329.214;3.324.833;3.338.049;3.334.356;3.341.267;3.328.433;3.317.703;3.307.988;3.286.709;3.184.096;3.096.995;3.057.368;3.037.620;3.029.415;3.033.057;3.042.203;3.052.494;3.050.057;3.039.728;3.041.975;3.053.944;3.059.323;3.071.350;3.083.953;3.092.772;3.102.791;3.119.634;3.132.050;3.141.207;3.141.657;3.136.091;3.142.632;3.156.587;3.162.954;3.178.881;3.187.259;3.195.887;3.212.383;3.226.582;3.239.004;3.248.766;3.243.742;3.231.565;3.222.830;3.228.894
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Fuente: Registro Estadístico de Empleo en la Seguridad Social (REESS) - Instituto Nacional de Estadística y Censos (INEC);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Notas:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;(1)  Los datos presentados en estos tabulados están sujetos a variación, ya que la base de datos del IESS y de otros registros administrativos, son transaccionales, es decir existen cambios o reprocesamientos en la información histórica.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;(2) Para el  Seguro Social Campesino (SSC) se presenta la información referente al jefe de hogar. Se solicita tener precaución con los datos anteriores a 2011 ya que existió un cambio de sistema del registro de la información, que puede afectar la comparabilidad de la serie.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;(3) La información sobre afiliaciones presentada en este cuadro, puede ser diferente a la que emite el Instituto Ecuatoriano de Seguridad Social (IESS). Esto se debe las distintas fechas de corte de la base de datos  y a las depuraciones que realiza el INEC con otros registros administrativos (SRI, REEM y Registro Civil).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;(4) La ubicación geográfica corresponde al domicilio fiscal registrado por la empresa (matriz) o trabajador independiente en el Servicio de Rentas Internas-SRI, no necesariamente donde se realiza la actividad económica.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;(5) El empleo no clasificado CIIU incrementa en las desagregaciones a 2, 3 y 4 dígitos debido a que incluye los RUC sin información en el nivel de desagregación correspondiente (adicional a los no clasificados en CIIU a 1 dígito);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"(6) El REESS publica las bases de datos de forma provisional, semidefinitiva y definitiva en base a procesos de validación internos. Para el presente periodo se debe considerar que la base del año 2021 se conserva como semi – definitiva debido a que se mantiene la subcobertura del Registro Estadístico de Empresas (REEM) en el número de empresas y ventas totales. 
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
